station_id,last_contact,has_valid_data,last_error
0-894-2-ESPE001,2026-03-02T08:56:58.974423+00:00,True,
Table_P1_SM1,2026-03-02T07:00:43.691289+00:00,True,
Table_P2_SM1,2026-03-02T06:59:45.993359+00:00,True,
Table_T2_SM1,2026-03-02T07:00:11.678513+00:00,True,
ESCP002,2026-04-16T13:04:56.166608+00:00,True,
Table_P1_SM2,2026-03-02T07:00:56.964771+00:00,True,
Table_T1_SM2,2026-03-02T07:00:12.503130+00:00,True,
Table_T3_SM2,2026-03-02T07:00:10.162369+00:00,True,
Table_P1_SM3,2026-03-02T07:00:56.430881+00:00,True,
Table_T1_SM4,2026-03-02T07:00:07.632856+00:00,True,
Table_T2_SM4,2026-03-02T07:00:10.989688+00:00,True,
Table_T3_SM4,2026-03-02T07:00:09.309569+00:00,True,
Table_T3_SM7,2026-03-02T07:00:08.451696+00:00,True,
2424,2026-04-16T12:55:45.673376+00:00,True,
2970,2026-04-16T12:00:14.745138+00:00,True,
2972,2026-04-16T12:57:38.865626+00:00,True,
2977,2026-04-16T11:59:57.069891+00:00,True,
2979,2026-04-16T12:57:40.307156+00:00,True,
3810,2026-04-16T13:45:06.516913+00:00,True,
3811,2026-04-16T12:02:02.889760+00:00,True,
3817,2026-04-16T12:55:18.820265+00:00,True,
3910,2026-03-23T22:18:05.742505+00:00,True,
20204,2026-04-16T12:00:44.790361+00:00,True,
20479,2026-04-16T12:32:24.761367+00:00,True,
22517,2026-04-16T13:02:12.380917+00:00,True,
22518,2026-04-16T13:03:41.331535+00:00,True,
22524,2026-04-04T11:37:13.592731+00:00,True,
22525,2026-04-16T11:59:00.595362+00:00,True,
22526,2026-04-16T11:57:28.668451+00:00,True,
22536,2026-04-16T11:57:27.460396+00:00,True,
22537,2026-04-16T11:57:26.250130+00:00,True,
27308,2026-04-12T22:56:29.368744+00:00,True,
29298,2026-04-03T08:17:32.101735+00:00,True,
29805,2026-04-16T13:04:39.272095+00:00,True,
29857,2026-04-16T13:04:40.443255+00:00,True,
34610,2026-04-16T12:54:02.653915+00:00,True,
34773,2026-04-16T11:00:29.630594+00:00,True,
34774,2026-04-16T12:00:17.358886+00:00,True,
40209,2026-04-16T13:05:05.223135+00:00,True,
40254,2026-04-16T13:01:51.130523+00:00,True,
40304,2026-04-16T12:54:12.153328+00:00,True,
44724,2026-04-16T13:04:54.871452+00:00,True,
45613,2026-04-16T13:04:47.041947+00:00,True,
46554,2026-04-16T11:56:53.934412+00:00,True,
46556,2026-04-16T13:04:43.299970+00:00,True,
46558,2026-04-16T12:54:01.556934+00:00,True,
46559,2026-04-16T11:54:32.483329+00:00,True,
46560,2026-04-16T13:05:00.381172+00:00,True,
46561,2026-04-16T13:04:51.984524+00:00,True,
46562,2026-04-16T11:57:23.395087+00:00,True,
46564,2026-04-16T13:05:08.485849+00:00,True,
46565,2026-04-16T12:00:38.654185+00:00,True,
46566,2026-04-16T13:04:50.279377+00:00,True,
46567,2026-04-16T13:00:20.336974+00:00,True,
46568,2026-04-16T11:57:19.330056+00:00,True,
46570,2026-04-16T12:01:02.205082+00:00,True,
46571,2026-04-16T13:04:38.059914+00:00,True,
