"TOA5","Station39_ChassaBoysSS","CR1000X","45613","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","45613","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-12-14 22:00:00",1,"ZMD_J5580","Station39_ChassaBoysSS",0.2562,3.6288,1.488729,0.6001483,343.8523,45.17385,24.74,74.16,18.96,0,0,0,0,892.9667,893.1204,1017.54,1017.368,0,0.1250767,26.11,0.06469101,0.1845044,27.68,0.07445986,0.1255266,28.63,0.06851544,0.1555679,28.54,0.1037527,0.08839259,28.46,0.09227435,0,29.09,0.02137231,0,28.86,0.03267235,0,28.26,0.03012318,0.134604,28.19,0.06596242,0.004,0,0.006,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.02,25.93,3.681,257.3256,3599
"2026-01-07 15:00:00",2,"ZMD_J5580","Station39_ChassaBoysSS",0,0,0,0,150.8876,25.11529,24.65,76.31,20.73,207.8796,0.262344,0,0.4,888.7678,888.9208,1012.756,1012.701,0,0.2186935,26.69,0.06700239,0.1875028,26.34,0.06617168,0.1475398,24.98,0.0687082,0.1838048,24.37,0.1022807,0.1004366,24.48,0.07791786,0,25.21,0.01392533,0,25.08,0.03865677,0,24.48,0.0410434,0.1434729,24.37,0.05930952,0.053,2.773,0.07600001,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.24,28.23,3.685,289.9238,1262
"2026-01-07 16:00:00",3,"ZMD_J5580","Station39_ChassaBoysSS",0,0,0,0,121.7301,41.79456,24.66,79.08,20.64,179.715,0.6467944,0,0,888.3261,888.479,1012.252,1012.21,0,0.219062,26.64,0.06811816,0.189811,26.37,0.06694822,0.1488511,25.34,0.06937697,0.1860975,24.79,0.1037119,0.1015345,24.91,0.07903526,0,25.72,0.01473304,0,25.63,0.039804,0,25.06,0.04181094,0.1472902,25.03,0.06115492,0.136,2.279,0.194,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.24,27.9,3.683,353.9935,3599
"2026-01-07 17:00:00",4,"ZMD_J5580","Station39_ChassaBoysSS",0,0,0,0,170.2278,47.67614,25.38,71.09,21.03,210.8486,0.7588442,0.2677778,0,888.7022,888.8549,1012.68,1012.628,0,0.2169984,26.44,0.06680106,0.1900051,26.21,0.06595609,0.1484226,25.41,0.0682839,0.1858742,24.91,0.1031987,0.1015512,24.96,0.07895182,0,25.75,0.01427125,0,25.64,0.03950902,0,25.06,0.04191014,0.147229,25.03,0.06107387,0.144,1.436,0.206,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.22,28.38,3.681,342.1697,3599
"2026-01-07 18:00:00",5,"ZMD_J5580","Station39_ChassaBoysSS",0,0,0,0,166.5118,27.78713,26.27,79.64,20.87,168.4163,0.6061303,0.9347222,0,889.4232,889.5756,1013.502,1013.429,0,0.2165075,26.26,0.06651134,0.1898295,26.09,0.06550882,0.1483887,25.44,0.06788979,0.1860761,24.99,0.1025771,0.1014837,25.02,0.07883037,0,25.77,0.01425868,0,25.64,0.03958102,0,25.06,0.04201341,0.1466217,25.03,0.06127402,0.129,0.567,0.184,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.17,29.78,3.681,336.2777,3599
"2026-01-07 19:00:00",6,"ZMD_J5580","Station39_ChassaBoysSS",0,0,0,0,115.9821,35.2761,24.03,87.4,21.21,11.89597,0.0428136,0,0,890.0951,890.2486,1014.268,1014.177,0,0.2149374,25.74,0.06603845,0.1902315,25.94,0.06547229,0.1487185,25.47,0.06791321,0.1860029,25.07,0.1023899,0.1016722,25.07,0.07898748,0,25.8,0.0143757,0,25.66,0.03964368,0,25.06,0.04159382,0.1466996,25.03,0.06139394,0.003,0.031,0.004,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.01,27.81,3.683,338.6535,3599
"2026-01-07 20:00:00",7,"ZMD_J5580","Station39_ChassaBoysSS",0,0,0,0,109.1694,33.09847,22.6,92.9,20.86,0,0,0,0,890.3994,890.5538,1014.616,1014.516,2529,0.2139878,24.91,0.06601488,0.1905551,25.57,0.06570934,0.1491349,25.44,0.06822245,0.1860547,25.11,0.1028175,0.1016762,25.12,0.07887525,0,25.82,0.0144394,0,25.67,0.03899978,0,25.06,0.0421525,0.1464433,25.03,0.06123837,-0.002,0,-0.003,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.96,24.7,3.683,331.7361,3599
"2026-01-07 21:00:00",8,"ZMD_J5580","Station39_ChassaBoysSS",0,0,0,0,104.6652,30.7942,22.12,93.70001,20.98,0,0,0,0,891.2532,891.4079,1015.589,1015.465,3599,0.2127721,24.36,0.06595744,0.1908113,25.18,0.06549497,0.1485285,25.37,0.06785407,0.1857258,25.15,0.1019045,0.1016637,25.17,0.07912885,0,25.84,0.01428738,0,25.67,0.03940248,0,25.06,0.04204536,0.1463276,25.03,0.06133032,-0.002,0,-0.003,"","","45613","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.95,23.22,3.684,345.3817,3599
