"TOA5","Station39_ChassaBoysSS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2024-12-14 22:00:00",1,-1,"0-894-2-ChassaBoysSS","ChassaBoysSS",0,2024,12,14,19,54,-14.24,31.77,1086,1088,89302,101760.2,256,2,1.5,296.9,291.9,73.54,-1,0,-24,488.8,1.5,-1,0,-24,0,308.1,296.9,10,0,2,-10,1.451,352.4,2.023,"None",3.629,-1,0,-24,25103550.0
"2026-01-07 15:00:00",2,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,12,56,-14.24,31.77,1086,1088,88874,101272.4,"",4,1.5,297.8,293.2,75.5,-1,0,-24,0,1.5,-1,0.4,-24,0,297.8,297.8,10,0,2,-10,0,0,0,"None",0,-1,195371.8,-24,195371.8
"2026-01-07 16:00:00",3,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,13,56,-14.24,31.77,1086,1088,88812,101201.7,"",4,1.5,297.6,294,80.70001,-1,0,-24,0,1.5,-1,0,-24,0,298,297.6,10,0,2,-10,0,0,0,"None",0,-1,656087.3,-24,851461
"2026-01-07 17:00:00",4,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,14,56,-14.24,31.77,1086,1088,88902,101304.2,"",4,1.5,299.1,294,73.67,-1,12.6,-24,12.6,1.5,-1,0,-24,0,299.4,297.6,10,0,2,-10,0,0,0,"None",0,-1,743101,-24,1594560
"2026-01-07 18:00:00",5,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,15,55,-14.24,31.77,1086,1088,88962,101372.6,88,2,1.5,298.4,294.5,79.07,-1,57.6,-24,70.2,1.5,-1,0,-24,0,300.6,297.6,10,0,2,-10,0,0,0,"None",0,-1,660318.2,-24,2254878
"2026-01-07 19:00:00",6,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,16,55,-14.24,31.77,1086,1088,89022,101441.1,210,2,1.5,296.3,294.2,87.70001,-1,1.95,-24,72.15,1.5,-1,0,-24,0,300.6,296.3,10,0,2,-10,0,0,0,"None",0,-1,62048.29,-24,2316923
"2026-01-07 20:00:00",7,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,17,55,-14.24,31.77,1086,1088,89081,101508.4,179,2,1.5,295.2,294,92.4,-1,0,-24,72.15,1.5,-1,0,-24,0,300.6,295.2,10,0,2,-10,0,0,0,"None",0,-1,0,-24,2316923
"2026-01-07 21:00:00",8,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,18,54,-14.24,31.77,1086,1088,89145,101581.3,183,2,1.5,295.2,294.2,93.8,-1,0,-24,72.15,1.5,-1,0,-24,0,300.6,295.1,10,0,2,-10,0,0,0,"None",0,-1,0,-24,2316923
"2026-01-07 22:00:00",9,-1,"0-894-2-ESSD001","Chassa Boys Secondary School",0,2026,1,7,19,54,-14.24,31.77,1086,1088,89227,101674.8,205,2,1.5,294.9,294.2,95.5,-1,0,-24,72.15,1.5,-1,0,-24,0,300.6,294.9,10,0,2,-10,0,0,0,"None",0,-1,0,-24,2316923
