"TOA5","Station103_ChipunduSS","CR1000X","51210","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","51210","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 00:00:00",1,"ZMD_J5580","Station103_ChipunduSS",0,1.1802,0.506072,0.2278856,124.7974,61.66249,18.37,98.8,18.16,0,0,0,0,882.9694,883.1247,883.2294,883.2274,3599,0.1468277,21.9,0.01512124,0.1058534,22.78,0.008589286,0,24.3,0.009793447,0,25.11,0.0119562,0,25.62,0.01140366,0,26.64,0.006008978,0.05937825,25.93,0.0004411799,0.1829872,25.4,0.014826,0.1991136,25.35,0.0137707,-0.001,0,-0.001,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.56,19.48,3.691,"",3599
"2026-01-06 01:00:00",2,"ZMD_J5580","Station103_ChipunduSS",0,0.8568,0.2478648,0.195916,174.2854,74.06945,18.44,98.9,18.27,0,0,0,0,882.6671,882.8223,882.927,882.925,3599,0.1445513,21.73,0.01540448,0.1037579,22.56,0.008544986,0,24.08,0.009552971,0,24.94,0.01193006,0,25.52,0.01137624,0,26.59,0.005998091,0.05901773,25.92,0.0002868715,0.1847916,25.41,0.01458594,0.1995856,25.35,0.01386724,-0.001,0,-0.001,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.54,19.48,3.693,"",3599
"2026-01-06 02:00:00",3,"ZMD_J5580","Station103_ChipunduSS",0,1.5498,0.3168064,0.2465575,252.7271,43.77515,18.4,98.70001,18.23,0,0,0,0,882.6912,882.8465,882.9512,882.9491,3599,0.1425794,21.59,0.01524373,0.1021961,22.38,0.00833417,0,23.88,0.009813513,0,24.77,0.01199511,0,25.4,0.0114244,0,26.53,0.00596707,0.05898212,25.91,0.0006624862,0.1859104,25.42,0.01548277,0.2005846,25.36,0.01400146,-0.001,0,-0.001,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.52,19.49,3.693,"",3599
"2026-01-06 03:00:00",4,"ZMD_J5580","Station103_ChipunduSS",0,1.6884,0.3938192,0.2642652,0.8682338,54.25909,18.13,98.6,17.91,0,0,0,0,882.4,882.5553,882.66,882.6579,3599,0.1442931,21.42,0.01502807,0.1019408,22.21,0.008588654,0,23.7,0.009623673,0,24.62,0.01195097,0,25.29,0.01130464,0,26.47,0.006069763,0.05861693,25.89,0.0003962438,0.1867419,25.42,0.01547071,0.202103,25.37,0.01421952,-0.001,0,-0.001,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.49,19.32,3.69,"",3599
"2026-01-06 04:00:00",5,"ZMD_J5580","Station103_ChipunduSS",0,1.1802,0.4262314,0.3063833,66.01997,29.895,18.06,98.8,17.87,0,0,0,0,881.952,882.1073,882.2119,882.2099,3599,0.1428814,21.21,0.01505697,0.1015301,22.01,0.008464999,0,23.54,0.009667018,0,24.47,0.0122807,0,25.18,0.01133302,0,26.4,0.006002016,0.05848392,25.85,0.0008041343,0.1869514,25.42,0.0150761,0.2034312,25.37,0.0139665,-0.001,0,-0.001,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.47,19.12,3.691,"",3599
"2026-01-06 05:00:00",6,"ZMD_J5580","Station103_ChipunduSS",0,1.6422,0.5918945,0.4500308,349.5479,39.16623,17.98,98.9,17.81,0,0,0,0,882.0134,882.1687,882.2733,882.2714,3599,0.1404234,21.02,0.01517922,0.1005378,21.83,0.008323875,0,23.36,0.009822178,0,24.33,0.01194298,0,25.07,0.01155097,0,26.34,0.005961175,0.05867756,25.82,0.0006249014,0.1869343,25.42,0.01521354,0.2049801,25.38,0.01433223,-0.001,0,-0.001,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.45,18.98,3.69,"",3599
"2026-01-06 06:00:00",7,"ZMD_J5580","Station103_ChipunduSS",0,1.6884,0.294007,0.3990584,312.6303,39.67804,17.8,99,17.64,2.45718,0.00884339,0,0,882.5485,882.7041,882.8087,882.8068,3599,0.1387824,20.76,0.01479483,0.09941976,21.62,0.008384126,0,23.2,0.009488694,0,24.19,0.01197363,0,24.97,0.01133419,0,26.27,0.005745676,0.05860612,25.78,0.0007221539,0.1867491,25.41,0.01505201,0.2064597,25.38,0.01384742,0,0.015,0,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.44,18.75,3.693,"",3599
"2026-01-06 07:00:00",8,"ZMD_J5580","Station103_ChipunduSS",0,0.9953999,0.2116151,0.2410088,45.10368,38.25923,18.24,98.8,18.1,74.1119,0.2667287,0.08722222,0,883.1874,883.3428,883.4476,883.4455,3599,0.1373002,20.8,0.01522112,0.09814946,21.46,0.008243651,0,23.04,0.009459882,0,24.05,0.01180677,0,24.86,0.0112614,0,26.2,0.005724091,0.05830576,25.74,0.0005350886,0.1871065,25.4,0.01498441,0.2070274,25.38,0.0138053,0.049,0.484,0.07,"","","51210","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.61,19.05,3.69,"",3599
