"TOA5","Station46_KafumbweSS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2025-09-09 05:00:00",1,-1,"0-894-2-KafumbweSS","KafumbweSS",0,2025,9,9,2,54,-14.21,32.23,1001,995,90598,102077.8,34,2,1.5,291,282.5,57.45,-1,0,-24,12.08,1.5,-1,0,-24,0,304.7,290.3,10,0,2,-10,1.25,227.2,1.192,"None",2.012,-1,0,-24,5471062
"2026-01-10 19:00:00",2,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,16,55,-14.21,32.23,1001,995,90048,101457.7,"",4,1.5,297.9,293.2,75.36999,-1,0,-24,0,1.5,-1,0.2,-24,0,298.1,297.9,10,0,2,-10,1.639,340.8,1.648,"None",2.936,-1,234.51,-24,234.51
"2026-01-10 20:00:00",3,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,17,55,-14.21,32.23,1001,995,90141,101562.5,"",4,1.5,296.9,294.1,84.4,-1,0,-24,0,1.5,-1,0,-24,0,298.1,296.6,10,0,2,-10,0.9220001,349.4,1.423,"None",2.15,-1,0,-24,234.51
"2026-01-10 21:00:00",4,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,18,54,-14.21,32.23,1001,995,90171,101596.3,"",4,1.5,297.3,294,81.9,-1,0,-24,0,1.5,-1,0,-24,0,298.1,296.6,10,0,2,-10,1.011,32.31,1.465,"None",3.121,-1,0,-24,234.51
"2026-01-10 22:00:00",5,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,19,54,-14.21,32.23,1001,995,90214,101644.7,166,2,1.5,297.2,293.6,80.20001,-1,0,-24,0,1.5,-1,0,-24,0,298.1,296.6,10,0,2,-10,1.559,39.43,1.397,"None",2.612,-1,0,-24,234.51
"2026-01-10 23:00:00",6,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,20,56,-14.21,32.23,1001,995,90223,101654.9,82,2,1.5,296.9,293,78.36,-1,0,-24,0,1.5,-1,0,-24,0,298.1,296.6,10,0,2,-10,2.188,33.17,2.363,"None",4.507,-1,0,-24,234.51
"2026-01-11 00:00:00",7,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,21,56,-14.21,32.23,1001,995,90174,101599.7,3,2,1.5,296.3,293.2,82.6,-1,0,-24,0,1.5,-1,0,-24,0,298.1,296.3,10,0,2,-10,1.842,33.53,1.519,"None",3.398,-1,0,-24,234.51
"2026-01-11 01:00:00",8,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,22,56,-14.21,32.23,1001,995,90123,101542.3,-91,7.000001,1.5,295.7,293.5,87.4,-1,0,-24,0,1.5,-1,0,-24,0,298.1,295.7,10,0,2,-10,1.009,39.43,0.9730001,"None",1.735,-1,0,-24,234.51
"2026-01-11 02:00:00",9,-1,"0-894-2-ESKT003","Kafumbwe Secondary School",0,2026,1,10,23,55,-14.21,32.23,1001,995,90077,101490.5,-146,7.000001,1.5,294.8,293.7,93.6,-1,0,-24,0,1.5,-1,0,-24,0,298.1,294.5,10,0,2,-10,0.7370001,23.83,1.355,"None",2.104,-1,0,-24,234.51
