"TOA5","Station29_KamangaSC","CR1000X","46582","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","46582","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 00:00:00",1,"ZMD_J5580","Station29_KamangaSC",0.3486,1.6884,0.8973881,0.2398248,144.1511,0,18.72,97.6,18.31,0,0,0,0,887.2188,887.3747,1015.801,1015.668,3599,0.1348455,24.56,0.0221643,0.1487103,25.49,0.01775948,0.1296501,26.54,0.03284655,0.1205074,27.12,0.03215696,0.09455586,27.34,0.02503682,0.08241833,27.56,0.02802159,0.08958357,27.56,0.03428748,0.0690527,27.29,0.02642697,0.05578886,27.14,0.02655365,-0.015,0,-0.021,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.52,19.66,3.704,"",3599
"2026-01-06 01:00:00",2,"ZMD_J5580","Station29_KamangaSC",0,1.4112,0.5726978,0.2743084,144.1483,0,18.28,98.1,17.95,0,0,0,0,886.8954,887.0514,1015.431,1015.308,3599,0.1337752,24.12,0.0224019,0.1476982,25.11,0.0177324,0.1287313,26.27,0.03339675,0.1213126,26.97,0.03256603,0.0949459,27.28,0.02487968,0.08339054,27.53,0.02794717,0.09040519,27.54,0.03395792,0.06896,27.29,0.02664381,0.05553746,27.13,0.02620729,-0.017,0,-0.024,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.5,19.07,3.703,"",3599
"2026-01-06 02:00:00",3,"ZMD_J5580","Station29_KamangaSC",0,1.2726,0.5445345,0.249126,144.1447,0,18.12,98.3,17.85,0,0,0,0,886.6968,886.853,1015.204,1015.086,3599,0.1330177,23.75,0.02287767,0.146695,24.75,0.01764994,0.1282864,26,0.03345434,0.1208692,26.8,0.03242752,0.09589384,27.19,0.02507438,0.08404169,27.5,0.02807465,0.08918817,27.53,0.03377171,0.06885706,27.27,0.02637207,0.05560285,27.12,0.02630333,-0.018,0,-0.026,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.48,18.74,3.704,"",3599
"2026-01-06 03:00:00",4,"ZMD_J5580","Station29_KamangaSC",0,1.2264,0.5633707,0.2793054,144.1429,0,17.74,98.4,17.48,0,0,0,0,886.7999,886.9562,1015.322,1015.201,3599,0.1323195,23.41,0.02223417,0.1458519,24.42,0.01790329,0.1288723,25.74,0.03343232,0.1204853,26.64,0.03237905,0.09711177,27.09,0.02491951,0.08502098,27.45,0.02806554,0.08907834,27.51,0.0339368,0.06936404,27.26,0.02625716,0.05549882,27.12,0.02631202,-0.018,0,-0.026,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.46,18.45,3.705,"",3599
"2026-01-06 04:00:00",5,"ZMD_J5580","Station29_KamangaSC",0,1.2726,0.4438513,0.3163228,144.1413,0,17.68,98.6,17.46,0,0,0,0,886.7669,886.9231,1015.285,1015.165,3599,0.1312261,23.12,0.02202293,0.1450537,24.12,0.01796353,0.128154,25.49,0.03326961,0.1202051,26.45,0.03250325,0.09759048,26.98,0.02512754,0.08570388,27.39,0.02792985,0.09001022,27.49,0.03432969,0.06884477,27.26,0.02650508,0.05558874,27.12,0.02626603,-0.018,0,-0.026,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.44,18.23,3.704,"",3599
"2026-01-06 05:00:00",6,"ZMD_J5580","Station29_KamangaSC",0,1.2726,0.5325075,0.2549247,144.1413,0,17.78,98.5,17.56,0,0,0,0,886.9507,887.107,1015.495,1015.37,3599,0.1303807,22.88,0.02249028,0.1439475,23.86,0.01777405,0.1273772,25.24,0.03327164,0.1198006,26.27,0.03249067,0.09815477,26.86,0.0252062,0.08680582,27.33,0.02824788,0.09009402,27.45,0.03428856,0.06885378,27.25,0.02645572,0.05546985,27.12,0.02640775,-0.018,0,-0.026,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.42,18.3,3.703,"",3599
"2026-01-06 06:00:00",7,"ZMD_J5580","Station29_KamangaSC",0,1.365,0.3216729,0.3722783,144.1403,0,17.11,98.5,16.88,0.8426166,0.003032577,0,0,887.3614,887.5182,1015.966,1015.828,3599,0.1290989,22.64,0.0227061,0.1430142,23.63,0.01781905,0.1271194,25.02,0.03302189,0.1195502,26.09,0.03227843,0.09818578,26.74,0.02521747,0.08776185,27.26,0.02832724,0.08993352,27.41,0.03390881,0.06911595,27.23,0.02644413,0.05535892,27.11,0.02603413,-0.019,0,-0.027,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.4,17.91,3.703,"",3599
"2026-01-06 07:00:00",8,"ZMD_J5580","Station29_KamangaSC",0.2562,1.7346,0.7119656,0.2841231,144.1413,0.08153602,17.95,92.8,17.66,75.79891,0.2728003,0.4197222,0,887.9977,888.1541,1016.694,1016.538,3599,0.1295622,22.37,0.02289466,0.1426164,23.36,0.01789603,0.1267428,24.8,0.03331769,0.1192814,25.91,0.03242991,0.09870054,26.62,0.02495836,0.08896359,27.18,0.0278042,0.09012941,27.36,0.03417953,0.0686703,27.22,0.0263064,0.05556692,27.1,0.02599042,0.015,0.286,0.021,"","","46582","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.43,18.05,3.703,"",3599
