"TOA5","Station45_KasenengwaBSS","CR1000X","48219","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","48219","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-23 14:00:00",1,"ZMD_J5580","Station45_KasenengwaBSS",0,5.1072,2.062447,0.9578576,94.34719,42.52318,26.63,48.29,14.75,411.104,1.479563,0.3513889,0,907.7973,907.9526,1021.208,1020.97,0,0.0003054548,34.03,0.02201634,0.03200264,29.06,0.02353976,0.03584488,24.92,0.03473233,0.03953164,24.1,0.03737141,0.07239312,24.18,0.03126141,0.2483743,24.67,0.1966896,0.2823842,24.84,0.2250858,0.2403929,24.84,0.1912739,0.2340744,25.09,0.1675496,0.352,2.593,0.503,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.14,32.68,3.692,"",3599
"2026-01-10 16:00:00",2,"ZMD_J5580","Station45_KasenengwaBSS",0,4.0908,2.19429,0.687834,311.2468,29.50231,31.38,47.16,19.1,0,0,0,0,900.957,901.1087,1013.511,1013.443,0,0.09145132,30.07,0.04956428,0.09265338,28.86,0.03274515,0.09815308,27.06,0.06079581,0.1211363,25.97,0.07284299,0.234975,25.52,0.1978374,0.3717335,25.53,0.4834292,0.3585452,25.37,0.4804408,0.2702782,25.09,0.227075,0.2804395,24.87,0.1901082,0.097,1.936,0.139,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.08,34.27,3.707,74.82927,731
"2026-01-10 17:00:00",3,"ZMD_J5580","Station45_KasenengwaBSS",0.7643999,12.8688,3.11508,1.671382,311.273,33.93001,26.96,91,19.27,0,0,0,3.6,901.2492,901.4033,1013.842,1013.767,1458,0.102813,29.87,0.05142788,0.09675892,29.41,0.03391561,0.1010367,27.97,0.06238162,0.1255782,27.03,0.07591802,0.2446308,26.63,0.2061921,0.3888496,26.74,0.5055002,0.3769812,26.71,0.5045669,0.2848334,26.49,0.2397796,0.2971995,26.39,0.2019856,0.09200001,1.413,0.131,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.16,32.07,3.704,542.7326,3599
"2026-01-10 18:00:00",4,"ZMD_J5580","Station45_KasenengwaBSS",0,3.444,0.693086,0.6281909,268.3018,60.56875,23.59,93.8,21.97,0,0,0,0,901.317,901.4727,1013.92,1013.844,3599,0.1385757,27.89,0.0608482,0.1115758,28.41,0.03553178,0.1007724,27.96,0.06179133,0.1261625,27.17,0.07581013,0.2445554,26.73,0.2059324,0.3887237,26.78,0.5059433,0.3772384,26.72,0.5049233,0.2846684,26.49,0.2396349,0.2969697,26.39,0.2018209,0.003,0.53,0.004,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.28,26.73,3.71,934.181,3599
"2026-01-10 19:00:00",5,"ZMD_J5580","Station45_KasenengwaBSS",0,1.134,0.5153608,0.2607958,337.7126,48.02787,23.71,100,23.13,0,0,0,0,902.2332,902.389,1014.951,1014.852,3599,0.1391341,27.48,0.06268999,0.1115902,27.93,0.03660784,0.1004598,27.8,0.06216235,0.1268631,27.25,0.07580648,0.2448222,26.82,0.2057844,0.3888949,26.82,0.5054221,0.376782,26.72,0.5046776,0.2850682,26.49,0.2393143,0.2972035,26.39,0.2015097,0,0.024,0,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.84,25.91,3.707,1141.969,3599
"2026-01-10 20:00:00",6,"ZMD_J5580","Station45_KasenengwaBSS",0,2.1042,0.6269416,0.5175116,41.13152,77.30346,22.67,95.3,21.99,0,0,0,0,903.2326,903.3892,1016.076,1015.951,3599,0.1388214,26.97,0.06351386,0.1108238,27.54,0.03699139,0.1004155,27.63,0.06212744,0.1270077,27.26,0.0757504,0.2447495,26.89,0.2054232,0.3886532,26.87,0.5054934,0.3772198,26.75,0.5047571,0.2847207,26.49,0.2397846,0.2968761,26.39,0.2013762,0.001,0,0.001,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.77,24.6,3.71,700.6868,3599
"2026-01-10 21:00:00",7,"ZMD_J5580","Station45_KasenengwaBSS",0,2.289,0.8802413,0.4168149,49.52539,29.31329,22.63,87.8,21.18,0,0,0,0,903.8384,903.9951,1016.757,1016.618,3599,0.138287,26.49,0.06434803,0.110053,27.15,0.0374012,0.1005269,27.45,0.06238192,0.1270489,27.25,0.07629119,0.2448707,26.94,0.2059204,0.3881876,26.91,0.5061402,0.3767448,26.76,0.5053022,0.2848333,26.49,0.2395221,0.2971469,26.39,0.2015371,0.004,0,0.006,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.76,23.77,3.704,572.0516,3599
"2026-01-10 22:00:00",8,"ZMD_J5580","Station45_KasenengwaBSS",0,2.6124,0.8534582,0.46508,39.0824,35.72843,22.87,87.9,20.8,0,0,0,0,904.4881,904.6448,1017.488,1017.332,3599,0.1381828,26.24,0.06479278,0.1099523,26.85,0.03735074,0.1001625,27.27,0.062355,0.1272477,27.21,0.07620664,0.2449016,26.97,0.2060249,0.3888808,26.95,0.5060607,0.3772448,26.78,0.5045346,0.2847518,26.49,0.2394104,0.2973237,26.39,0.2015449,0.006,0,0.009000001,"","","48219","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.73,23.73,3.719,843.05,3599
