"TOA5","Station66_LilachiBS","CR1000X","49309","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","49309","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 01:00:00",1,"ZMD_J5580","Station66_LilachiBS",0.4872,2.3352,1.394553,0.2926558,349.9278,24.44497,21.89,92.8,20.37,0,0,0,0,896.8978,897.0537,1013.982,1013.902,0,0.01098909,27.24,0.01586047,0.08129958,28.62,0.00845342,0.07843178,30.18,0.01459322,0.09223892,30.78,0.01143541,0.08165123,30.84,0.01098057,0.07338502,30.92,0.007223298,0.07465847,30.3,0.0004050308,0.05323374,29.55,0.006822528,0.08670114,29.1,0.007323969,-0.009000001,0,-0.013,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.53,23.82,3.704,"",3599
"2026-01-06 02:00:00",2,"ZMD_J5580","Station66_LilachiBS",0.3024,1.8732,1.009806,0.3021154,323.7208,25.65926,22,82.3,19.76,0,0,0,0,896.3248,896.4804,1013.334,1013.269,0,0.01099884,26.75,0.01601048,0.08128499,28.14,0.008926999,0.07813845,29.79,0.01505395,0.09266174,30.51,0.01150776,0.08159362,30.7,0.01107501,0.0734284,30.89,0.00709817,0.07517565,30.33,0.00036447,0.05367369,29.59,0.00742493,0.08673184,29.11,0.00757013,-0.01,0,-0.014,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.51,23.14,3.707,"",3599
"2026-01-06 03:00:00",3,"ZMD_J5580","Station66_LilachiBS",0.672,3.8136,2.822159,0.4227032,289.0036,8.810842,22.34,78.49,18.96,0,0,0,0,896.1031,896.2586,1013.083,1013.024,0,0.01113156,26.47,0.01597793,0.08112713,27.78,0.009062019,0.07779138,29.44,0.01494311,0.09260324,30.25,0.01137082,0.08180659,30.56,0.01125349,0.07326245,30.85,0.007542465,0.07488524,30.35,0.0003156684,0.05388576,29.64,0.007335322,0.08656886,29.12,0.007121742,0.012,0,0.017,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.5,23.21,3.7,"",3599
"2026-01-06 04:00:00",4,"ZMD_J5580","Station66_LilachiBS",0.3486,2.9358,1.370816,0.633983,318.0337,27.95448,21.83,80.8,18.77,0,0,0,0,896.09,896.2457,1013.069,1013.01,0,0.01101,26.08,0.0163829,0.08069654,27.43,0.009187574,0.07770138,29.11,0.01516586,0.09272894,30.01,0.01152949,0.08168729,30.4,0.01138974,0.07324115,30.78,0.007647908,0.07517284,30.33,0.0005905898,0.05403178,29.66,0.007042031,0.0864353,29.14,0.00724132,-0.003,0,-0.004,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.48,23.06,3.699,"",3599
"2026-01-06 05:00:00",5,"ZMD_J5580","Station66_LilachiBS",0.441,2.8896,1.974717,0.4786815,322.3748,24.4223,20.95,88.3,18.74,0,0,0,0,896.2089,896.3651,1013.204,1013.141,0,0.01094063,25.52,0.01696214,0.08053906,27.01,0.008883265,0.07777627,28.8,0.01547319,0.09249272,29.77,0.01163827,0.0818383,30.24,0.0113596,0.07346017,30.7,0.007545502,0.07519911,30.32,0.0003585135,0.05428234,29.69,0.00711991,0.08643516,29.15,0.007732686,-0.002,0,-0.003,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.47,22.26,3.699,"",3599
"2026-01-06 06:00:00",6,"ZMD_J5580","Station66_LilachiBS",1.0416,2.4738,1.670206,0.2299244,319.3359,7.618326,20.54,91.1,18.9,0.4992742,0.001796888,0,0,896.8088,896.9654,1013.882,1013.804,0,0.01108851,25.08,0.01643402,0.0805651,26.58,0.009048461,0.07776669,28.47,0.01529627,0.09253466,29.53,0.01137663,0.08188629,30.08,0.01099521,0.07342433,30.61,0.007288788,0.07563101,30.28,0.0003271138,0.05442449,29.69,0.007155547,0.08651605,29.18,0.007850608,-0.007,0,-0.01,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.45,21.62,3.7,"",3599
"2026-01-06 07:00:00",7,"ZMD_J5580","Station66_LilachiBS",0,3.0744,1.070917,0.5914087,320.8122,37.69981,21.62,74.16,19.28,79.41298,0.2858073,0.445,0,897.5078,897.664,1014.672,1014.576,0,0.01085572,25.12,0.01661472,0.08042942,26.34,0.009035762,0.07775256,28.16,0.01541897,0.09226366,29.29,0.01145208,0.08189047,29.91,0.01112127,0.0736217,30.51,0.007680599,0.0756432,30.24,0.0006215279,0.05428246,29.7,0.0069876,0.0868696,29.18,0.007803398,0.027,0.192,0.039,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.5,22.1,3.7,"",3599
"2026-01-06 08:00:00",8,"ZMD_J5580","Station66_LilachiBS",0.7643999,5.7078,2.573026,0.8338932,287.4452,16.57762,24.14,64,18.74,260.0925,0.936073,0.7330555,0,898.123,898.2779,1015.366,1015.253,0,0.01159018,26.27,0.01640157,0.08008916,26.57,0.008637258,0.0774043,27.94,0.01498593,0.0924334,29.06,0.01172875,0.08170742,29.75,0.01125386,0.07358201,30.4,0.007303161,0.07512052,30.19,0.0004233256,0.05444226,29.69,0.007477786,0.0864437,29.21,0.007306711,0.181,0.9960001,0.259,"","","49309","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.87,26.22,3.699,"",3599
