"TOA5","St59_LuampaSS","CR1000X","48233","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","48233","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 01:00:00",1,"ZMD_J5580","St59_LuampaSS",0,0.9492,0.4501896,0.2085672,243.4575,0.2711465,19.56,99.20001,19.43,0,0,0,0,888.4588,888.6144,1019.452,1019.222,3599,0.03811401,22.9,0.01154966,0.09709788,23.88,0.01110333,0.1007387,25.31,0.0116166,0.1027817,25.92,0.00992233,0.1182952,26.28,0.01322842,0.1147876,26.69,0.009815986,0.1336551,26.45,0.009935243,0.1221626,26.09,0.01075082,0.1368975,26.06,0.01253176,-0.018,0,-0.026,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.54,20.25,3.702,"",3599
"2026-01-06 02:00:00",2,"ZMD_J5580","St59_LuampaSS",0,1.6422,0.5002611,0.3174608,243.4721,0.3309056,19.61,99.4,19.51,0,0,0,0,888.3537,888.5094,1019.331,1019.105,3599,0.03799403,22.83,0.01195793,0.09707618,23.74,0.01117309,0.1003845,25.07,0.01187228,0.1021198,25.73,0.009946771,0.1178971,26.19,0.01340083,0.1148411,26.66,0.009723052,0.1333542,26.45,0.01072979,0.122112,26.11,0.01101798,0.1366262,26.07,0.0130036,-0.017,0,-0.024,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.52,20.35,3.701,"",3599
"2026-01-06 03:00:00",3,"ZMD_J5580","St59_LuampaSS",0,1.0878,0.2873812,0.2359959,243.8306,0.360867,19.31,99.4,19.24,0,0,0,0,888.4093,888.565,1019.395,1019.167,3599,0.03674226,22.47,0.01194843,0.09684836,23.5,0.01104821,0.09996154,24.87,0.0116762,0.1016961,25.57,0.009990925,0.1174716,26.09,0.01344666,0.1141069,26.62,0.009927544,0.132978,26.45,0.01073013,0.1215845,26.12,0.01090096,0.1362535,26.07,0.0126265,-0.018,0,-0.026,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.5,20.04,3.702,"",3599
"2026-01-06 04:00:00",4,"ZMD_J5580","St59_LuampaSS",0,1.4112,0.4858861,0.2751794,243.8257,0,18.87,99.70001,18.81,0,0,0,0,888.3402,888.4962,1019.316,1019.09,3599,0.03013106,22.05,0.01215825,0.09629887,23.17,0.01093042,0.09986927,24.66,0.01167383,0.1015411,25.42,0.009914102,0.1168286,25.99,0.01329653,0.113828,26.57,0.009992366,0.1325744,26.43,0.01053812,0.1213133,26.12,0.01066242,0.1361372,26.07,0.01260916,-0.018,0,-0.026,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.48,19.6,3.703,"",3599
"2026-01-06 05:00:00",5,"ZMD_J5580","St59_LuampaSS",0,0.9953999,0.3732362,0.2255433,243.825,0,18.63,99.70001,18.6,0,0,0,0,888.5518,888.7078,1019.559,1019.326,3599,0.02708659,21.83,0.01197763,0.09614782,22.91,0.0108899,0.09913946,24.44,0.01163181,0.1010263,25.26,0.009884302,0.1166062,25.88,0.01314027,0.1135007,26.51,0.009864613,0.132036,26.41,0.009709909,0.121368,26.12,0.01075828,0.135634,26.08,0.01266369,-0.018,0,-0.026,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.46,19.29,3.702,"",3599
"2026-01-06 06:00:00",6,"ZMD_J5580","St59_LuampaSS",0,1.2264,0.5119012,0.1577002,243.7762,0.1779785,18.11,99.8,18.08,0.235472,0.0008474638,0,0,889.1711,889.3276,1020.27,1020.019,3599,0.02699853,21.47,0.01216121,0.0956016,22.65,0.01119822,0.09889879,24.24,0.01159496,0.1005252,25.1,0.01010891,0.1161918,25.77,0.01329162,0.1131815,26.45,0.009755228,0.1316317,26.38,0.01034784,0.1209307,26.12,0.01090432,0.135481,26.08,0.01294082,-0.018,0,-0.026,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.44,18.84,3.702,"",3599
"2026-01-06 07:00:00",7,"ZMD_J5580","St59_LuampaSS",0,1.6884,0.7641372,0.2818565,243.7058,0.2148157,18.55,99.9,18.55,32.91265,0.1184526,0,0,889.9334,890.09,1021.144,1020.871,3599,0.02794129,21.29,0.01193138,0.0955633,22.37,0.01106548,0.09831528,24.02,0.01167301,0.1004441,24.95,0.01000474,0.1160824,25.67,0.01329286,0.1125837,26.38,0.009595254,0.1311199,26.35,0.01004698,0.1204473,26.12,0.01069616,0.1350651,26.08,0.01242131,-0.012,0.23,-0.017,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.48,18.75,3.702,"",3599
"2026-01-06 08:00:00",8,"ZMD_J5580","St59_LuampaSS",0.2562,2.982,0.8404891,0.3524643,243.6559,0.08843823,21.61,78.93,20.04,206.9956,0.7449772,0.5541667,0,890.6922,890.8472,1022.013,1021.717,3599,0.02195143,21.95,0.0119388,0.09523382,22.5,0.01086554,0.09792384,23.84,0.01175822,0.1001983,24.79,0.009840282,0.1153912,25.56,0.01325088,0.111879,26.32,0.009430069,0.1312438,26.31,0.009707041,0.120452,26.11,0.01044934,0.1350946,26.08,0.01219368,0.122,1.05,0.174,"","","48233","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.99,21.49,3.702,"",3599
