"TOA5","St59_LuampaSS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2026-01-06 01:00:00",1,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,5,22,56,-14.13,24.56,1143,1145,88819,101914.3,-43,7.000001,1.5,292.7,292.5,99.1,-1,0,-24,246,1.5,-1,0,-24,0,303.4,292.6,10,0,2,-10,0.468,243.5,0.533,"None",0.8110001,-1,0,-24,16284460.0
"2026-01-06 02:00:00",2,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,5,23,55,-14.13,24.56,1143,1145,88841,101939.6,-56,7.000001,1.5,292.6,292.5,99.3,-1,0,-24,246,1.5,-1,0,-24,0,303.4,292.6,10,0,2,-10,0.44,243.5,0.322,"None",0.9030001,-1,0,-24,16284460.0
"2026-01-06 03:00:00",3,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,6,0,55,-14.13,24.56,1143,1145,88842,101940.7,-39,7.000001,1.5,292.2,292.1,99.4,-1,0,-24,246,1.5,-1,0,-24,0,303.4,292.2,10,0,2,-10,0.334,243.8,0.264,"None",0.58,-1,0,-24,16284460.0
"2026-01-06 04:00:00",4,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,6,1,55,-14.13,24.56,1143,1145,88829,101925.8,10,2,1.5,291.9,291.8,99.6,-1,0,-24,246,1.5,-1,0,-24,0,303.4,291.9,10,0,2,-10,0.517,243.8,0.465,"None",0.7640001,-1,0,-24,16284460.0
"2026-01-06 05:00:00",5,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,6,2,54,-14.13,24.56,1143,1145,88879,101983.2,38,2,1.5,291.5,291.5,99.6,-1,0,-24,246,1.5,-1,0,-24,0,303.4,291.5,10,0,2,-10,0.344,243.8,0.25,"None",0.7180001,-1,0,-24,16284460.0
"2026-01-06 06:00:00",6,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,6,3,54,-14.13,24.56,1143,1145,88947,102061.3,105,2,1.5,291.2,291.2,99.8,-1,0,-24,246,1.5,-1,0,-24,0,303.4,291.1,10,0,2,-10,0.514,243.8,0.53,"None",0.9950001,-1,234.9282,-24,16284700.0
"2026-01-06 07:00:00",7,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,6,4,56,-14.13,24.56,1143,1145,89026,102151.9,197,2,1.5,292.2,292.2,99.9,-1,0,-24,246,1.5,-1,0,-24,0,303.4,291.1,10,0,2,-10,0.744,243.7,1.001,"None",1.642,-1,91457.33,-24,16376170.0
"2026-01-06 08:00:00",8,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,6,5,56,-14.13,24.56,1143,1145,89100,102236.5,221,2,1.5,296.9,293.3,80.1,-1,28.25,-24,274.3,1.5,-1,0,-24,0,303.4,291.1,10,0,2,-10,0.79,243.6,0.8660001,"None",1.966,-1,694868.7,-24,17071020.0
"2026-01-06 09:00:00",9,-1,"0-894-2-LuampaSS","LuampaSS",0,2026,1,6,6,56,-14.13,24.56,1143,1145,89112,102250.1,165,2,1.5,299.7,292.7,65.61,-1,43.05,-24,38.05,1.5,-1,0,-24,0,299.7,296.7,10,0,2,-10,1.17,244.2,1.261,"None",2.89,-1,1523171,-24,1445453
