"TOA5","Station47_LubalashiS","CR1000X","48221","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","48221","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-06-22 14:00:00",1,"ZMD_J5580","Station47_LubalashiS",0.3486,8.295,3.262425,1.382536,146.1177,35.38288,23.78,42.13,9.269999,667.5534,2.402524,0.9086111,0,914.2202,914.3781,1024.701,1024.394,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.508,2.564,0.726,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.17,30.93,3.709,"",3599
"2026-01-12 12:00:00",2,"ZMD_J5580","Station47_LubalashiS",0,3.9522,1.918043,0.6526668,21.14363,35.11674,27.17,66.12,20.54,704.1066,1.106856,0.2908333,0,907.2375,907.3923,1016.873,1016.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,3.782,0.389,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.14,31.91,3.712,"",1572
"2026-01-12 13:00:00",3,"ZMD_J5580","Station47_LubalashiS",0,4.5528,1.920285,0.7371086,348.3578,39.13084,27.63,66.54,20.19,690.138,2.483807,0.6475,0,906.9131,907.0678,1016.509,1016.378,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.531,3.789,0.7590001,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.08,33.49,3.711,"",3599
"2026-01-12 14:00:00",4,"ZMD_J5580","Station47_LubalashiS",0.2562,4.6914,1.890423,0.7256361,306.3573,33.32907,27.58,64.98,19.92,613.2011,2.206911,0.7994444,0,906.4149,906.5694,1015.951,1015.832,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.479,3.567,0.684,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.07,34.45,3.709,"",3599
"2026-01-12 15:00:00",5,"ZMD_J5580","Station47_LubalashiS",0,4.0908,1.550013,0.6814081,312.761,43.2377,27.93,65.6,20.29,589.9862,2.12336,0.6527778,0,905.5974,905.7517,1015.034,1014.935,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.455,3.091,0.65,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.06,34.66,3.71,"",3599
"2026-01-12 16:00:00",6,"ZMD_J5580","Station47_LubalashiS",0.2562,3.8598,1.549944,0.6705984,285.9386,34.82018,28.65,66.99,20.55,581.3439,2.092257,0.7052778,0,904.9242,905.0779,1014.279,1014.197,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.442,2.41,0.631,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.03,35.32,3.71,"",3599
"2026-01-12 17:00:00",7,"ZMD_J5580","Station47_LubalashiS",0,2.289,0.7883254,0.3731942,307.9143,66.04027,27.22,61.73,20.37,235.8208,0.8487192,0.3227778,0,904.6158,904.7702,1013.934,1013.859,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.182,1.588,0.26,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.11,33.35,3.71,"",3599
"2026-01-12 18:00:00",8,"ZMD_J5580","Station47_LubalashiS",0,2.1042,0.9175895,0.339882,89.80125,41.95311,27.43,72.93,20.33,164.9186,0.5935421,0.505,0,904.9566,905.1108,1014.316,1014.233,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","",0.132,0.71,0.189,"","","48221","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.1,32.44,3.71,"",3599
