"TOA5","Station47_LubalashiS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2024-06-22 14:00:00",1,-1,"0-894-2-LubalashiS","LubalashiS",0,2024,6,22,11,54,-14.97,29.83,962,952,91402,102447.7,-215,7.000001,1.5,297.2,282.8,40.09,-1,57.33,-24,343.5,1.5,-1,0,-24,0,297.6,291.3,10,0,2,-10,3.268,141.7,2.597,"None",6.031,-1,2521649,-24,13388490.0
"2026-01-12 12:00:00",2,-1,"0-894-2-LSLG002","Lubalashi Primary School",0,2026,1,12,9,55,-14.97,29.83,962,952,90714,101676.3,"",4,1.5,300.6,293.8,66.25,-1,16.18,-24,16.18,1.5,-1,0,-24,0,300.8,299.7,10,0,2,-10,1.901,25.15,1.882,"None",3.629,-1,956514.8,-24,956514.7
"2026-01-12 13:00:00",3,-1,"0-894-2-LSLG002","Lubalashi Primary School",0,2026,1,12,10,54,-14.97,29.83,962,952,90676,101633.8,"",4,1.5,300.5,292.9,63.36,-1,38.3,-24,54.48,1.5,-1,0,-24,0,301.7,299.7,10,0,2,-10,1.936,352.6,2.347,"None",4.553,-1,2469298,-24,3425814
"2026-01-12 14:00:00",4,-1,"0-894-2-LSLG002","Lubalashi Primary School",0,2026,1,12,11,54,-14.97,29.83,962,952,90617,101567.6,"",4,1.5,300.3,293.2,65.18,-1,44.78,-24,99.3,1.5,-1,0,-24,0,301.7,299.7,10,0,2,-10,1.829,308.7,2.421,"None",4.229,-1,2141190,-24,5567004
"2026-01-12 15:00:00",5,-1,"0-894-2-LSLG002","Lubalashi Primary School",0,2026,1,12,12,56,-14.97,29.83,962,952,90523,101462.3,-191,7.000001,1.5,300.7,293.9,66.51,-1,40.35,-24,139.6,1.5,-1,0,-24,0,301.8,299.7,10,0,2,-10,1.702,309.6,1.288,"None",2.843,-1,2150997,-24,7718004
"2026-01-12 16:00:00",6,-1,"0-894-2-LSLG002","Lubalashi Primary School",0,2026,1,12,13,56,-14.97,29.83,962,952,90463,101395,-213,7.000001,1.5,300.8,293.8,65.73,-1,46.13,-24,185.7,1.5,-1,0,-24,0,303.3,299.7,10,0,2,-10,1.497,287.7,1.292,"None",3.305,-1,2221786,-24,9939788
"2026-01-12 17:00:00",7,-1,"0-894-2-LSLG002","Lubalashi Primary School",0,2026,1,12,14,56,-14.97,29.83,962,952,90471,101404,-146,7.000001,1.5,301,293.2,62.19,-1,14.37,-24,200.1,1.5,-1,0,-24,0,303.3,299.7,10,0,2,-10,0.827,297.6,0.754,"None",1.273,-1,819546.3,-24,10759330.0
"2026-01-12 18:00:00",8,-1,"0-894-2-LSLG002","Lubalashi Primary School",0,2026,1,12,15,55,-14.97,29.83,962,952,90509,101446.7,-14,7.000001,1.5,299.1,294,73.43999,-1,35.3,-24,235.4,1.5,-1,0,-24,0,303.3,299.1,10,0,2,-10,0.9120001,84.8,1.033,"None",1.596,-1,679970,-24,11439300.0
