"TOA5","Station49_LumantoBS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2026-01-06 01:00:00",1,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,5,22,56,-12.86,27.61,1210,1212,86798,100411.8,-140,7.000001,1.5,290.8,290.3,96.8,-1,0,-24,0,1.5,-1,0,-24,0,299.7,290.4,10,0,2,-10,0.49,96.8,1.027,"None",1.781,-1,0,-24,0
"2026-01-06 02:00:00",2,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,5,23,55,-12.86,27.61,1210,1212,86806,100421.1,-149,7.000001,1.5,290.6,290.1,96.9,-1,0,-24,0,1.5,-1,0,-24,0,299.7,290.4,10,0,2,-10,0.8940001,39.27,0.743,"None",1.781,-1,0,-24,0
"2026-01-06 03:00:00",3,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,6,0,55,-12.86,27.61,1210,1212,86773,100382.9,-106,7.000001,1.5,290.3,289,91.9,-1,0,-24,0,1.5,-1,0,-24,0,299.7,290.1,10,0,2,-10,1.591,324.8,2.032,"None",4.183,-1,0,-24,0
"2026-01-06 04:00:00",4,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,6,1,55,-12.86,27.61,1210,1212,86790,100402.6,-8,7.000001,1.5,290.5,288.9,90.6,-1,0,-24,0,1.5,-1,0,-24,0,299.7,290.1,10,0,2,-10,1.312,313.8,1.374,"None",3.305,-1,0,-24,0
"2026-01-06 05:00:00",5,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,6,2,54,-12.86,27.61,1210,1212,86819,100436.1,13,2,1.5,290.4,289.2,92.9,-1,0,-24,0,1.5,-1,0.2,-24,0,299.7,290.1,10,0,2,-10,0.869,355.1,0.8250001,"None",1.688,-1,0,-24,0
"2026-01-06 06:00:00",6,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,6,3,54,-12.86,27.61,1210,1212,86906,100536.8,133,2,1.5,290.5,289.3,93.1,-1,0,-24,0,1.5,-1,0,-24,0,299.7,290.1,10,0,2,-10,1.136,43.89,2.002,"None",3.86,-1,0,-24,0
"2026-01-06 07:00:00",7,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,6,4,56,-12.86,27.61,1210,1212,86981,100623.5,191,2,1.5,291.1,289.7,91.5,-1,0,-24,0,1.5,-1,0,-24,0,299.7,290.1,10,0,2,-10,1.287,33.13,1.885,"None",3.86,-1,0,-24,0
"2026-01-06 08:00:00",8,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,6,5,56,-12.86,27.61,1210,1212,87070,100726.4,251,2,1.5,292.1,290,88,-1,0,-24,0,1.5,-1,0,-24,0,299.7,290.1,10,0,2,-10,2.34,357.2,2.146,"None",4.322,-1,0,-24,0
"2026-01-06 09:00:00",9,-1,"0-894-2-LumantoBS","LumantoBS",0,2026,1,6,6,56,-12.86,27.61,1210,1212,87069,100725.1,163,2,1.5,293.9,291,83.1,-1,0,-24,0,1.5,-1,0,-24,0,293.9,292.2,10,0,2,-10,2.383,352.8,1.812,"None",4.229,-1,0,-24,0
