"TOA5","Station91_LunduSS","CR1000X","49635","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","49635","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 01:00:00",1,"ZMD_J5580","Station91_LunduSS",0.4872,4.4142,1.566221,0.5780243,341.5194,25.21103,18.3,93.6,17.32,0,0,0,0,874.1674,874.321,1016.346,1016.185,3599,0.1336672,22.36,0.02151118,0.09937313,23.36,0.01714125,0.1017971,24.75,0.0260668,0.2104837,25.35,0.05423429,0.1142433,25.62,0.03080269,0.08510045,26.11,0.01847403,0.09097092,25.83,0.00712417,0.2302314,25.51,0.02885506,0.2199815,25.83,0.02635207,-0.01,0,-0.014,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.62,19.37,3.694,"",3599
"2026-01-06 02:00:00",2,"ZMD_J5580","Station91_LunduSS",0.4872,2.7972,1.486824,0.3966396,343.3662,18.14305,18.08,96,17.29,0,0,0,0,873.7606,873.9144,1015.873,1015.726,3599,0.1339003,22.18,0.02181439,0.09949868,23.14,0.01707462,0.1015867,24.53,0.02650988,0.2102451,25.21,0.0540552,0.1142402,25.58,0.03085011,0.0849585,26.11,0.01798117,0.09121776,25.84,0.006951309,0.2303856,25.52,0.02858828,0.2196142,25.83,0.02622756,-0.012,0,-0.017,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.59,19.18,3.695,"",3599
"2026-01-06 03:00:00",3,"ZMD_J5580","Station91_LunduSS",0.5334,3.3054,1.506698,0.4862812,334.6757,26.30798,17.94,94.6,17.16,0,0,0,0,873.2792,873.433,1015.313,1015.182,3599,0.1337322,21.95,0.02206096,0.0992627,22.91,0.01743105,0.1016387,24.33,0.02673245,0.2101269,25.08,0.05433302,0.1142206,25.52,0.03085661,0.08472497,26.11,0.0181218,0.09095306,25.86,0.00662654,0.2303411,25.53,0.02856121,0.2201175,25.83,0.02700005,-0.012,0,-0.017,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.57,18.94,3.695,"",3599
"2026-01-06 04:00:00",4,"ZMD_J5580","Station91_LunduSS",0.4872,3.5364,1.537481,0.5019356,323.2056,26.5983,17.88,95,17.03,0,0,0,0,873.1945,873.3484,1015.215,1015.086,3599,0.1341001,21.8,0.02197103,0.09930598,22.73,0.01734289,0.1014573,24.15,0.0268024,0.2101503,24.96,0.05443326,0.1144652,25.46,0.03101355,0.08481526,26.09,0.01824761,0.09124038,25.86,0.007361318,0.2302862,25.54,0.0285953,0.2197089,25.83,0.02646285,-0.011,0,-0.016,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.55,18.81,3.694,"",3599
"2026-01-06 05:00:00",5,"ZMD_J5580","Station91_LunduSS",0.3486,2.4738,0.950835,0.321422,336.4338,30.20684,17.33,98,16.83,0,0,0,0,873.3035,873.4577,1015.342,1015.21,3599,0.1338794,21.49,0.02211781,0.09946712,22.52,0.01741858,0.1011359,23.98,0.02619439,0.210021,24.83,0.05403484,0.1141609,25.39,0.03114115,0.08480381,26.07,0.01840985,0.09099768,25.87,0.007188646,0.230394,25.55,0.02825303,0.2199806,25.83,0.02630346,-0.015,0,-0.021,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.54,18.31,3.696,"",3599
"2026-01-06 06:00:00",6,"ZMD_J5580","Station91_LunduSS",0,1.2726,0.7200994,0.2589414,243.2578,39.08171,16.67,99.5,16.46,4.95525,0.01783394,0,0,873.734,873.8886,1015.843,1015.696,3599,0.1337642,20.97,0.02196924,0.09925318,22.17,0.01708907,0.1011887,23.8,0.02661579,0.2101166,24.71,0.0538968,0.1143414,25.32,0.03115069,0.08492454,26.05,0.01839622,0.09098833,25.87,0.007251785,0.2299422,25.56,0.02838167,0.2197139,25.83,0.02625339,-0.016,0.029,-0.023,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.53,17.56,3.696,"",3599
"2026-01-06 07:00:00",7,"ZMD_J5580","Station91_LunduSS",0.3486,2.2428,1.076013,0.2887124,283.3475,38.85749,17.5,90.70001,16.87,74.80453,0.2692215,0,0.2,874.1085,874.2626,1016.278,1016.119,3599,0.1335459,20.92,0.02156343,0.09913572,21.88,0.0174675,0.10076,23.59,0.02719621,0.2096318,24.58,0.05404192,0.1142138,25.25,0.03103948,0.08464957,26.02,0.01798677,0.09115236,25.86,0.006526659,0.2308034,25.56,0.02853974,0.2198979,25.83,0.02701931,0.015,0.577,0.021,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.75,17.85,3.697,"",3599
"2026-01-06 08:00:00",8,"ZMD_J5580","Station91_LunduSS",0.441,3.9984,1.979266,0.6704662,308.157,19.72079,19.98,82.9,17.59,235.9995,0.849362,0.3286111,0,874.4326,874.5856,1016.653,1016.484,35,0.1339017,21.74,0.02151328,0.09942927,22.04,0.0174184,0.1007967,23.42,0.02673029,0.209735,24.46,0.05414374,0.1141507,25.17,0.03126416,0.0849385,25.98,0.01807535,0.0914013,25.86,0.00756907,0.2301963,25.57,0.0286852,0.2197524,25.83,0.02624329,0.15,1.466,0.214,"","","49635","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.21,20.48,3.694,"",3599
