"TOA5","Station91_LunduSS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2026-01-06 01:00:00",1,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,5,22,56,-11,32.39,1251,1253,87406,101622.1,47,2,1.5,291.4,290.4,93.9,-1,0,-24,332.9,1.5,-1,0,-24,0,302.4,291.3,10,0,2,-10,1.634,343.6,1.439,"None",2.89,-1,0,-24,18581470.0
"2026-01-06 02:00:00",2,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,5,23,55,-11,32.39,1251,1253,87361,101569.8,-51,7.000001,1.5,291.1,290.4,96.1,-1,0,-24,332.9,1.5,-1,0,-24,0,302.4,291.1,10,0,2,-10,1.457,341.8,1.364,"None",2.197,-1,0,-24,18581470.0
"2026-01-06 03:00:00",3,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,6,0,55,-11,32.39,1251,1253,87297,101495.4,-115,7.000001,1.5,291.1,290.2,94.6,-1,0,-24,332.9,1.5,-1,0,-24,0,302.4,291,10,0,2,-10,1.518,334.3,1.93,"None",3.305,-1,0,-24,18581470.0
"2026-01-06 04:00:00",4,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,6,1,55,-11,32.39,1251,1253,87325,101528,-81,7.000001,1.5,291,290.1,94.5,-1,0,-24,332.9,1.5,-1,0,-24,0,302.4,291,10,0,2,-10,1.562,328.8,1.454,"None",2.751,-1,0,-24,18581470.0
"2026-01-06 05:00:00",5,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,6,2,54,-11,32.39,1251,1253,87347,101553.6,-14,7.000001,1.5,290.1,289.8,98,-1,0,-24,332.9,1.5,-1,0,-24,0,302.4,290.1,10,0,2,-10,0.998,333.9,0.717,"None",1.365,-1,0,-24,18581470.0
"2026-01-06 06:00:00",6,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,6,3,54,-11,32.39,1251,1253,87385,101597.8,88,2,1.5,289.8,289.7,99.4,-1,0,-24,332.9,1.5,-1,0,-24,0,302.4,289.7,10,0,2,-10,0.7320001,253.3,0.86,"None",1.088,-1,11052.8,-24,18592480.0
"2026-01-06 07:00:00",7,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,6,4,56,-11,32.39,1251,1253,87419,101637.2,94,2,1.5,291.6,290.3,92,-1,0,-24,332.9,1.5,-1,0.2,-24,0,302.4,289.7,10,0,2,-10,1.055,272.9,1.057,"None",1.735,-1,239537.3,-24,18832050.0
"2026-01-06 08:00:00",8,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,6,5,56,-11,32.39,1251,1253,87471,101697.5,124,2,1.5,294,291.1,83,-1,14.8,-24,347.7,1.5,-1,0,-24,0,302.4,289.7,10,0,2,-10,1.897,309.3,2.346,"None",3.721,-1,753245,-24,19585300.0
"2026-01-06 09:00:00",9,-1,"0-894-2-LunduSS","LunduSS",0,2026,1,6,6,56,-11,32.39,1251,1253,87452,101675.2,67,2,1.5,297.4,291.4,69.29999,-1,57.55,-24,52.63,1.5,-1,0,-24,0,298.2,294.8,10,0,2,-10,2.74,307.5,3.141,"None",5.662,-1,2209197,-24,2076614
