"TOA5","St4_LusakaAirport","CR1000X","46556","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","46556","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 01:00:00",1,"ZMD_J5580","St4_LusakaAirport",0,2.289,0.7578125,0.3878766,0,0,18.8,85.6,16.24,0,0,0,0,871.146,871.299,1016.425,1016.259,3599,0.1129281,23.61,0.05247578,0.1840507,24.7,0.05915612,0.1347569,25.8,0.07050698,0.2050924,26.11,0.09590191,0.2313702,26.04,0.1371661,0.2740314,26.08,0.1950686,0.294707,25.83,0.2590321,0.2919543,25.51,0.272829,0.2698821,25.44,0.2718571,-0.006,0,-0.009000001,0.07759094,222.5158,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.61,19.88,3.705,59.28793,3599
"2026-01-06 02:00:00",2,"ZMD_J5580","St4_LusakaAirport",0,2.5662,0.9263924,0.3752407,0,0,18.93,76.97999,15.49,0,0,0,0,870.9178,871.0706,1016.158,1016,3599,0.1115346,23.29,0.05278374,0.1839591,24.36,0.05886924,0.1345063,25.59,0.07005667,0.2052492,26.01,0.09573465,0.2311762,26.02,0.137228,0.2740387,26.09,0.1952906,0.2949666,25.85,0.2590991,0.2921803,25.52,0.2731028,0.2704228,25.45,0.2721729,-0.002,0,-0.003,0.08552551,222.4303,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.6,19.6,3.708,58.51736,3599
"2026-01-06 03:00:00",3,"ZMD_J5580","St4_LusakaAirport",0.2562,2.52,0.875932,0.3079706,0,0,19.02,77.41,15.2,0,0,0,0,870.8437,870.9966,1016.072,1015.916,3599,0.111303,22.99,0.05272556,0.1838213,24.11,0.05872638,0.1346534,25.38,0.07037494,0.2052625,25.91,0.09574591,0.2312063,25.99,0.1373121,0.2737333,26.09,0.1956519,0.2946544,25.86,0.2590784,0.2923701,25.54,0.2734184,0.2701943,25.46,0.2720087,-0.002,0,-0.003,0.03063965,222.3997,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.58,19.63,3.707,58.46735,3599
"2026-01-06 04:00:00",4,"ZMD_J5580","St4_LusakaAirport",0,2.3352,0.828666,0.3833605,0,0,18.99,81.1,15.12,0,0,0,0,870.9406,871.0934,1016.185,1016.026,3599,0.1114789,22.77,0.05271694,0.1836686,23.88,0.0586561,0.1345201,25.18,0.0700242,0.2048287,25.8,0.09573634,0.2312188,25.95,0.13743,0.2741004,26.09,0.1953277,0.2950586,25.89,0.2593713,0.2923763,25.55,0.2734999,0.27039,25.47,0.2717288,-0.002,0,-0.003,0.0828247,222.3168,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.57,19.53,3.704,58.65074,3599
"2026-01-06 05:00:00",5,"ZMD_J5580","St4_LusakaAirport",0,2.1504,0.57821,0.3839201,0,0,18.83,84.6,15.89,0,0,0,0,871.0448,871.1978,1016.307,1016.144,3599,0.111477,22.65,0.05278096,0.1831524,23.67,0.05860716,0.1342182,25,0.07032891,0.2048831,25.7,0.095452,0.2311185,25.91,0.1370768,0.2739816,26.09,0.1956374,0.2950359,25.9,0.2596291,0.2922294,25.57,0.2735372,0.2700284,25.47,0.2717717,-0.007,0,-0.01,0.02389526,222.293,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.55,19.36,3.705,59.93415,3599
"2026-01-06 06:00:00",6,"ZMD_J5580","St4_LusakaAirport",0,1.4574,0.4697749,0.3282299,0,0,18.81,85.3,16.33,4.2393,0.01525724,0,0,871.5962,871.7494,1016.95,1016.769,3599,0.1124248,22.5,0.05264916,0.1828894,23.47,0.05856064,0.1342398,24.82,0.07024513,0.2046646,25.6,0.09541869,0.2312736,25.85,0.1372073,0.2739967,26.06,0.1955962,0.2947275,25.9,0.2598888,0.2926044,25.58,0.2741446,0.270035,25.48,0.2720844,-0.008,0.011,-0.011,0.06712342,222.2258,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.55,19.28,3.704,58.56738,3599
"2026-01-06 07:00:00",7,"ZMD_J5580","St4_LusakaAirport",0,2.2428,0.8727509,0.3446734,0,0,19.85,72.07,15.97,84.46722,0.3039975,0.3336111,0,872.1494,872.3019,1017.595,1017.395,2123,0.1124051,22.85,0.05312193,0.182832,23.43,0.0586758,0.1341418,24.67,0.06999266,0.2046518,25.49,0.09547839,0.2311777,25.8,0.137051,0.2740968,26.04,0.195801,0.2951251,25.9,0.2600004,0.2928334,25.6,0.2740999,0.2703477,25.48,0.2720193,0.044,0.449,0.063,0.02526855,222.2006,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.86,20.27,3.7,59.05085,3599
"2026-01-06 08:00:00",8,"ZMD_J5580","St4_LusakaAirport",0.2562,4.2294,1.662208,0.690783,0,0,21.88,60.14,15.24,341.1136,1.227668,0.891111,0,872.7366,872.8883,1018.279,1018.059,0,0.1126533,23.67,0.05274007,0.1827864,23.67,0.05862346,0.1336368,24.57,0.0704225,0.2046686,25.39,0.09539431,0.2309306,25.75,0.137326,0.2740033,26.02,0.1957255,0.2953076,25.9,0.2605926,0.2926624,25.6,0.2745056,0.2703172,25.48,0.2721324,0.221,1.331,0.316,0.1804352,222.0201,"46556","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.3,23.47,3.69,69.94942,3599
