"TOA5","St4_LusakaAirport","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2026-01-06 01:00:00",1,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,5,22,56,-15.42,28.32,1280,1282,87095,101619.6,18,2,1.5,291.8,289.3,85.5,-1,0,-24,398.6,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,0.8420001,0,0.542,"None",1.088,-1,0,-24,22060630.0
"2026-01-06 02:00:00",2,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,5,23,55,-15.42,28.32,1280,1282,87091,101614.9,-70,7.000001,1.5,292.3,288.1,76.39,-1,0,-24,398.6,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,0.896,0,0.587,"None",1.226,-1,0,-24,22060630.0
"2026-01-06 03:00:00",3,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,6,0,55,-15.42,28.32,1280,1282,87090,101613.8,-72,7.000001,1.5,292.1,288.3,78.61,-1,0,-24,398.6,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,0.877,0,1.188,"None",2.52,-1,0,-24,22060630.0
"2026-01-06 04:00:00",4,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,6,1,55,-15.42,28.32,1280,1282,87094,101618.4,-1,7.000001,1.5,292.1,288.7,80.3,-1,0,-24,398.6,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,0.887,0,0.627,"None",1.273,-1,0,-24,22060630.0
"2026-01-06 05:00:00",5,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,6,2,54,-15.42,28.32,1280,1282,87126,101655.8,35,2,1.5,291.9,289.2,84.4,-1,0,-24,398.6,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,0.559,0,0.574,"None",1.088,-1,0,-24,22060630.0
"2026-01-06 06:00:00",6,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,6,3,54,-15.42,28.32,1280,1282,87188,101728.1,98,2,1.5,292.1,289.6,85.5,-1,0,-24,398.6,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,0.452,0,0.8700001,"None",1.457,-1,8846.718,-24,22069460.0
"2026-01-06 07:00:00",7,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,6,4,56,-15.42,28.32,1280,1282,87242,101791,148,2,1.5,293.8,288.2,70.29,-1,20.02,-24,418.6,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,0.851,0,1.232,"None",2.243,-1,279163.2,-24,22348750.0
"2026-01-06 08:00:00",8,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,6,5,56,-15.42,28.32,1280,1282,87301,101859.7,175,2,1.5,296.2,288.3,60.83,-1,48.47,-24,467.1,1.5,-1,0,-24,0,300.1,291.8,10,0,2,-10,1.555,0,1.888,"None",4.229,-1,1099433,-24,23448220.0
"2026-01-06 09:00:00",9,-1,"0-894-2-LSLU002","LusakaAirport",0,2026,1,6,6,56,-15.42,28.32,1280,1282,87318,101879.6,130,2,1.5,295.1,288.8,67.57,-1,32.75,-24,27.75,1.5,-1,0.2,-24,0,296.8,294.4,10,0,2,-10,2.204,0,2.395,"None",4.322,-1,1434828,-24,1275348
