"TOA5","Station33_LwambeNP","CR1000X","34610","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","34610","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-06-15 15:00:00",1,"ZMD_J5580","Station33_LwambeNP",0,5.0148,1.84883,0.9330057,276.6749,64.02246,27.63,27.67,7.47,479.0202,1.723994,0.9997222,0,950.5024,950.6644,1015.414,1015.347,0,0,44.93,0.01170879,0.01482629,35.81,0.01606074,0.03714501,27.96,0.02474359,0.002698617,26.62,0.02120976,0.0992011,27.13,0.05598527,0.1532057,28.15,0.1513994,0.07233514,28.55,0.04658645,0.04680349,28.72,0.03081695,0.09906627,29.26,0.05683663,0.395,2.093,0.564,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.09,36.56,3.709,"",3599
"2026-01-09 15:00:00",2,"ZMD_J5580","Station33_LwambeNP",0,4.6452,1.973047,0.7677001,61.95057,31.60185,26.22,76.58,21.79,286.0602,0.5598196,0,0,945.0835,945.2458,1009.626,1009.632,243,0.08867898,33.98,0.05238392,0.1437126,33.97,0.07416705,0.1290823,32.16,0.05304917,0.1025989,30.63,0.06541842,0.2571126,30.34,0.1668599,0.3406839,30.75,0.3019335,0.1634687,30.65,0.1164666,0.1331141,30.3,0.1021661,0.1935585,30.03,0.08654689,0.145,2.761,0.207,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.23,30.04,3.711,"",1957
"2026-01-09 16:00:00",3,"ZMD_J5580","Station33_LwambeNP",0.2562,4.9224,2.061249,0.8547126,53.99326,27.91735,27.47,69.38,21.81,367.4494,1.32245,0.4891667,0,944.5205,944.6815,1009.023,1009.037,0,0.08747488,34.06,0.05223205,0.1430286,33.56,0.07423844,0.1307505,32.21,0.05290484,0.101877,30.86,0.0651027,0.2575153,30.45,0.1665886,0.3398135,30.77,0.301669,0.163676,30.7,0.116874,0.1316589,30.38,0.1026838,0.1943523,30.18,0.08713726,0.29,2.199,0.414,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.18,30.98,3.713,"",3599
"2026-01-09 17:00:00",4,"ZMD_J5580","Station33_LwambeNP",0.3486,4.2756,1.8552,0.6731736,58.80696,29.53293,28.58,64.61,21.64,290.1671,1.044312,0.9997222,0,944.0865,944.247,1008.559,1008.578,0,0.08674855,34.64,0.05142201,0.1427,33.58,0.07400907,0.1300746,32.21,0.05292844,0.1018592,31.07,0.06536232,0.2576852,30.59,0.1666732,0.3391718,30.79,0.3017018,0.1636327,30.67,0.1165225,0.132196,30.36,0.1023559,0.1940673,30.2,0.08700711,0.232,1.362,0.331,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.13,32.71,3.712,"",3599
"2026-01-09 18:00:00",5,"ZMD_J5580","Station33_LwambeNP",0,3.5364,1.115005,0.5286872,59.07053,25.13631,28.11,73.13,21.86,73.65621,0.2650887,0.1730556,0,944.4837,944.6444,1008.984,1008.997,0,0.08560364,33.15,0.05128435,0.1423695,33.27,0.07376393,0.1297583,32.25,0.05263422,0.1022373,31.2,0.06529368,0.2570762,30.71,0.1666849,0.3398356,30.83,0.3012331,0.1635408,30.66,0.1170962,0.1324323,30.36,0.1026148,0.1941952,30.21,0.08699288,0.063,0.502,0.09,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.05,32.16,3.711,"",3599
"2026-01-09 19:00:00",6,"ZMD_J5580","Station33_LwambeNP",0,2.7048,0.9880607,0.3759913,74.40656,18.50769,26.3,82.4,22.2,4.60211,0.016563,0,0,945.1501,945.3119,1009.697,1009.702,0,0.0840678,31.01,0.0514435,0.1418742,32.24,0.07350639,0.1294982,32.17,0.05235588,0.1018049,31.31,0.06509239,0.2573013,30.82,0.1664977,0.3395108,30.88,0.3012819,0.1638292,30.69,0.1172296,0.1322502,30.36,0.1027737,0.193756,30.21,0.08720777,0.007,0.021,0.01,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.82,29.28,3.712,"",3599
"2026-01-09 20:00:00",7,"ZMD_J5580","Station33_LwambeNP",0,1.9194,0.8329833,0.4085937,81.33499,21.24029,24.94,84.8,22.22,0,0,0,0,945.8424,946.005,1010.437,1010.433,0,0.08323139,29.47,0.05154904,0.1414811,31.14,0.07344109,0.1292569,31.91,0.05263438,0.1017269,31.35,0.06498105,0.257228,30.91,0.1661499,0.3388263,30.94,0.3008963,0.1632289,30.7,0.1169689,0.1315698,30.36,0.1026602,0.1943889,30.21,0.08718206,-0.001,0,-0.001,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.78,26.89,3.712,"",3599
"2026-01-09 21:00:00",8,"ZMD_J5580","Station33_LwambeNP",0.3948,2.0118,0.9822142,0.2900816,90.03882,19.22945,24.77,85.5,22.1,0,0,0,0,946.3841,946.547,1011.016,1011.004,0,0.08294416,28.73,0.05179936,0.1411171,30.3,0.07391693,0.1291355,31.54,0.05267159,0.1012986,31.33,0.06488244,0.2574604,30.97,0.1662532,0.339539,30.98,0.3009936,0.1631837,30.71,0.1174691,0.1317715,30.36,0.1028313,0.1941029,30.21,0.08751722,0.001,0,0.001,"","","37610","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.74,26.1,3.712,"",3599
