"TOA5","Station113_MambilimaSS","CR1000X","51288","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","51288","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 01:00:00",1,"ZMD_J5580","Station113_MambilimaSS",0,1.6884,0.6586945,0.3103177,279.5653,0.2761483,19.11,93.6,18.19,0,0,0,0,907.5998,907.759,1020.991,1020.757,3599,0.2116148,22.98,0.035306,0.2302858,23.82,0.0522194,0.1640362,24.95,0.06542214,0.07686434,25.32,0.0269107,0.0176737,25.62,0.01282093,0.04017024,26.22,0.02269451,0.1499972,26.03,0.005675663,0.2051469,25.94,0.04295623,0.2508081,26.06,0.03455615,0.001,0,0.001,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.4,19.71,3.704,"",3599
"2026-01-06 02:00:00",2,"ZMD_J5580","Station113_MambilimaSS",0,2.0118,0.7690542,0.454454,279.5653,0.2782644,18.86,96.1,18.03,0,0,0,0,907.3321,907.4914,1020.69,1020.463,3599,0.2101731,22.72,0.03442484,0.2275505,23.63,0.05058452,0.1635388,24.84,0.06564494,0.07637334,25.24,0.02734891,0.01734553,25.57,0.01328298,0.04042204,26.2,0.0229038,0.1495836,26.02,0.004564279,0.2049115,25.94,0.04332655,0.2508839,26.06,0.03446578,0.001,0,0.001,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.38,19.24,3.703,"",3599
"2026-01-06 03:00:00",3,"ZMD_J5580","Station113_MambilimaSS",0,1.6422,0.6121958,0.3381054,279.5652,0.2782644,19.04,96.3,18.37,0,0,0,0,907.5212,907.6805,1020.902,1020.671,3599,0.2081537,22.73,0.03249745,0.2258847,23.53,0.04910103,0.1632557,24.72,0.06405038,0.07645588,25.16,0.02682623,0.01746974,25.52,0.01294124,0.04011564,26.17,0.02247424,0.1501168,26.02,0.005245897,0.2044077,25.94,0.04370709,0.2500688,26.06,0.03455742,0,0,0,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.36,19.5,3.704,"",3599
"2026-01-06 04:00:00",4,"ZMD_J5580","Station113_MambilimaSS",0,2.1042,0.9066814,0.3445084,279.5651,0.2831405,18.78,95.5,18.21,0,0,0,0,907.3942,907.5535,1020.76,1020.531,3599,0.2062319,22.73,0.03297503,0.2244862,23.49,0.04942538,0.1627524,24.62,0.06481674,0.07634262,25.07,0.02702499,0.0176713,25.46,0.01294274,0.04057898,26.14,0.0230025,0.1498064,26,0.005103558,0.2046862,25.94,0.04348642,0.2496006,26.06,0.03489341,0.001,0,0.001,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.35,19.52,3.703,"",3599
"2026-01-06 05:00:00",5,"ZMD_J5580","Station113_MambilimaSS",0.2562,2.9358,1.31326,0.5137366,279.565,0.2831405,18.84,95,18.13,0,0,0,0,907.2867,907.4461,1020.639,1020.413,3599,0.2052354,22.75,0.03230653,0.2222668,23.45,0.04905401,0.1619396,24.54,0.06464342,0.07604393,24.99,0.02680936,0.01742804,25.41,0.01313686,0.03988204,26.1,0.02274724,0.1491743,25.99,0.005346608,0.2043584,25.94,0.04357977,0.2494735,26.06,0.03555348,0.002,0,0.003,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.33,19.58,3.709,"",3599
"2026-01-06 06:00:00",6,"ZMD_J5580","Station113_MambilimaSS",0,2.751,0.9162886,0.523614,279.5649,0.2858895,19.19,96.9,18.54,0.2681544,0.0009650876,0,0,908.2614,908.4206,1021.735,1021.484,3599,0.2039569,22.85,0.0308356,0.2213127,23.46,0.0450984,0.161535,24.48,0.06085659,0.07612396,24.93,0.02571356,0.01758197,25.35,0.01280382,0.04007907,26.06,0.02200491,0.1489037,25.97,0.006442121,0.2039525,25.93,0.04396202,0.2487193,26.06,0.03505471,0.001,0.003,0.001,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.31,19.75,3.705,"",3599
"2026-01-06 07:00:00",7,"ZMD_J5580","Station113_MambilimaSS",0,2.3814,0.9136573,0.4066646,279.5648,0.2886123,19.33,92.70001,18.65,48.09893,0.173108,0,0,908.6479,908.8073,1022.17,1021.909,3599,0.2029467,22.89,0.03096355,0.219564,23.44,0.0457235,0.1612369,24.43,0.06158388,0.07603595,24.87,0.02619595,0.01755251,25.3,0.01297197,0.03921466,26.02,0.02226728,0.1489692,25.94,0.00562062,0.2033805,25.93,0.04335799,0.2481647,26.06,0.03473814,0.032,0.356,0.046,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.38,20.03,3.703,"",3599
"2026-01-06 08:00:00",8,"ZMD_J5580","Station113_MambilimaSS",0,2.8896,1.067276,0.5866619,279.563,0.3350164,20.78,86.1,19,157.6536,0.5673954,0.03972222,0,909.232,909.3907,1022.826,1022.551,2266,0.2018174,23.4,0.02996805,0.2178622,23.58,0.04425656,0.1603762,24.4,0.06046776,0.07634262,24.82,0.02600593,0.01727831,25.25,0.01272045,0.03910828,25.99,0.02241447,0.1486209,25.92,0.004583664,0.2033903,25.92,0.04362046,0.2470095,26.06,0.0350732,0.102,1.217,0.146,"","","51288","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.67,21.76,3.704,"",3599
