"TOA5","St97_Mansa","CR1000X","51204","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","51204","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 01:00:00",1,"ZMD_J5580","Station97_Mansa",0,1.7346,0.7630318,0.3231007,126.9837,49.35328,18.78,98.6,18.57,0,0,0,0,896.7071,896.8646,1018.953,1018.75,3599,0.1361241,22.53,0.02085282,0.09292299,23.49,0.01221581,0.07418601,24.93,0.01822844,0.02816506,25.63,0.01383185,0.05926409,26,0.01101087,0.0590322,26.41,0.02066148,0.0108774,26.45,0.01584716,0.08873082,26.09,0.02130952,0.1374478,26.12,0.02517412,-0.001,0,-0.001,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.62,19.88,3.69,1953.209,3599
"2026-01-06 02:00:00",2,"ZMD_J5580","Station97_Mansa",0,1.7808,0.7558197,0.2761331,46.55785,23.02806,18.67,98.70001,18.47,0,0,0,0.2,896.1679,896.3254,1018.341,1018.153,3599,0.1342389,22.36,0.02048887,0.09285168,23.31,0.01200373,0.0737433,24.75,0.0185121,0.0282241,25.48,0.01370195,0.05904098,25.91,0.01113609,0.05876025,26.37,0.02111743,0.01097492,26.43,0.01603154,0.08892692,26.1,0.02166038,0.137101,26.12,0.02530427,-0.001,0,-0.001,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.61,19.72,3.69,2102.836,3599
"2026-01-06 03:00:00",3,"ZMD_J5580","Station97_Mansa",0,1.6884,0.5273446,0.2625499,34.61432,53.04736,18.61,98.6,18.42,0,0,0,0,895.9643,896.1218,1018.109,1017.927,3599,0.1322475,22.18,0.0207516,0.09257994,23.14,0.01238531,0.07397878,24.59,0.01850591,0.02817667,25.34,0.01386891,0.05927784,25.83,0.01110231,0.05899862,26.33,0.02097053,0.01065029,26.42,0.01605172,0.08868275,26.1,0.02171823,0.1371763,26.12,0.02517845,-0.001,0,-0.001,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.59,19.58,3.691,2328.065,3599
"2026-01-06 04:00:00",4,"ZMD_J5580","Station97_Mansa",0,2.2428,0.9630428,0.3830618,43.52444,25.42311,18.27,98.5,18.06,0,0,0,0,895.8796,896.0372,1018.013,1017.833,3599,0.1311532,21.9,0.02091189,0.09267813,22.92,0.01226439,0.07397069,24.42,0.01853613,0.02820851,25.21,0.01402708,0.0592652,25.74,0.01114397,0.05887565,26.28,0.02118805,0.01091974,26.41,0.01563115,0.08889283,26.11,0.02166121,0.1376107,26.12,0.02527698,0,0,0,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.57,19.22,3.69,2050.619,3599
"2026-01-06 05:00:00",5,"ZMD_J5580","Station97_Mansa",0,1.6422,0.5274558,0.2982436,86.09815,64.99326,18.38,98.5,18.15,0,0,0,0,895.8914,896.0489,1018.027,1017.846,3599,0.1296109,21.79,0.02101525,0.09234651,22.75,0.01229071,0.0737771,24.26,0.01859954,0.02812812,25.09,0.01373244,0.05944711,25.66,0.01121961,0.0584938,26.24,0.0209706,0.01064153,26.38,0.0151616,0.08904017,26.11,0.02147564,0.1373431,26.13,0.02519865,-0.001,0,-0.001,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.54,19.22,3.694,2183.216,3599
"2026-01-06 06:00:00",6,"ZMD_J5580","Station97_Mansa",0,2.8896,0.9231056,0.5192149,339.5845,36.77954,18.56,98.70001,18.37,0.7197206,0.002590274,0,0,896.7374,896.895,1018.988,1018.784,3599,0.1287039,21.76,0.02068611,0.0922128,22.65,0.01236567,0.07427808,24.12,0.01864836,0.02839285,24.96,0.01397609,0.05938994,25.57,0.01131845,0.05886913,26.18,0.02094816,0.01054345,26.35,0.01559835,0.08887331,26.1,0.02140856,0.1376121,26.13,0.0250091,0,0.003,0,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.53,19.34,3.69,2474.973,3599
"2026-01-06 07:00:00",7,"ZMD_J5580","Station97_Mansa",0,2.058,0.4423922,0.2961408,329.6181,54.96128,18.75,98.8,18.56,32.97727,0.1186852,0,0,897.5562,897.7138,1019.918,1019.692,3599,0.1273362,21.76,0.02052787,0.0922085,22.58,0.01213432,0.07415508,23.99,0.01849714,0.02835456,24.85,0.01415783,0.05950422,25.48,0.01118672,0.05902225,26.13,0.02110794,0.01074772,26.32,0.0154487,0.08875848,26.09,0.02147574,0.1373637,26.13,0.025048,0.02,0.364,0.029,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.57,19.58,3.69,2259.74,3599
"2026-01-06 08:00:00",8,"ZMD_J5580","Station97_Mansa",0,2.1504,0.7489446,0.3669795,356.191,39.34787,21.22,77.16,19.06,312.4576,1.124535,0.8669444,0,898.2504,898.4069,1020.705,1020.46,2236,0.1272333,22.05,0.02048955,0.09208998,22.6,0.01212751,0.07413328,23.89,0.01849835,0.02838877,24.74,0.0136497,0.0594372,25.39,0.01109622,0.05872992,26.06,0.02098084,0.01072511,26.29,0.01558956,0.08933856,26.08,0.02141212,0.1372596,26.13,0.02495087,0.181,1.225,0.259,"","","51204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.1,22.49,3.69,1942.903,3599
