"TOA5","Station40_ManyanePS","CR1000X","45618/20204","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","45618/20204","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-12-16 13:00:00",1,"ZMD_J5580","Station40_ManyanePS",0.5796,6.4008,2.862551,1.07421,60.47138,26.41519,28.29,54.85,18.32,714.3854,2.571073,0.5194444,0,895.7718,895.9242,1015.661,1015.54,0,0.02314916,35.91,0.01846576,0.04031602,31.71,0.02318888,0.005512856,27.21,0.02814964,0.06814424,26.14,0.03772776,0,26.55,0.02673532,0,27.46,0.02532841,0,27.48,0.03330797,0,27.06,0.02378099,0.02668001,26.82,0.02237049,0.567,3.699,0.8100001,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.09,34.51,3.687,98.10537,3599
"2026-01-11 11:00:00",2,"ZMD_J5580","Station40_ManyanePS",0,7.5096,3.841889,1.2926,352.7971,29.25772,27.71,62.14,20.61,737.0529,1.513907,0.4477778,0,897.7817,897.9347,1017.941,1017.765,0,0.1135244,27.8,0.02161288,0.1041491,25.98,0.02498761,0.03887281,25.17,0.02722526,0.128593,25.43,0.04119865,0.0008569191,25.83,0.02424875,0,26.46,0.0223027,0,26.29,0.03236725,0.01311629,25.82,0.02246191,0.05965467,25.68,0.02268626,0.372,3.503,0.531,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.21,30.73,3.689,87.27586,2054
"2026-01-11 12:00:00",3,"ZMD_J5580","Station40_ManyanePS",0.9953999,6.8628,3.397258,0.9375538,347.0688,26.58026,27.41,62.94,20.86,601.7423,2.16567,0.4572222,0,897.2849,897.438,1017.377,1017.215,246,0.1126942,29.21,0.02167262,0.10486,27.3,0.02471181,0.03902027,25.8,0.02729851,0.1298974,25.81,0.04208621,0.00125975,26.21,0.02473358,0,26.91,0.02279289,0,26.79,0.03308588,0.01329591,26.36,0.02287646,0.06100515,26.26,0.02305546,0.467,3.693,0.667,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.18,31.71,3.689,77.00027,3599
"2026-01-11 13:00:00",4,"ZMD_J5580","Station40_ManyanePS",0.9492,8.4798,3.945953,1.114277,337.4703,24.25499,28.68,58.67,20.83,809.6873,2.914064,0.7155555,0,896.2144,896.3667,1016.163,1016.029,0,0.1116654,31.12,0.02086866,0.1038596,28.49,0.02433839,0.03927677,26.32,0.02729446,0.1299652,25.9,0.04162086,0.002050654,26.19,0.02473038,0,26.89,0.02278208,0,26.79,0.03278575,0.01341151,26.36,0.02264876,0.06054118,26.26,0.02322739,0.621,3.707,0.887,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.14,32.96,3.688,76.96694,3599
"2026-01-11 14:00:00",5,"ZMD_J5580","Station40_ManyanePS",1.0878,7.602,3.408728,1.096295,343.0249,25.50434,29.07,60.03,20.27,710.9422,2.558681,0.5566667,0,895.2086,895.3605,1015.022,1014.916,0,0.1087976,32.19,0.02067936,0.103851,29.62,0.02384506,0.0381996,26.91,0.02695445,0.1300021,26.07,0.0417726,0.002038912,26.19,0.02461594,0,26.86,0.02264835,0,26.78,0.03265093,0.01379264,26.36,0.02270368,0.06238636,26.26,0.0231149,0.568,3.466,0.8110001,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.13,33.53,3.688,92.5205,3599
"2026-01-11 15:00:00",6,"ZMD_J5580","Station40_ManyanePS",0.9492,6.6318,3.292484,0.9272842,335.6354,23.73689,30.2,53.87,20.71,782.051,2.814602,0.7908333,0,894.4002,894.5514,1014.105,1014.02,0,0.1070472,33.08,0.02042547,0.1012904,30.41,0.02378761,0.03837862,27.5,0.02660194,0.1286982,26.3,0.04157058,0.0009564494,26.22,0.02447145,0,26.85,0.02272975,0,26.75,0.03271058,0.01318873,26.36,0.0228842,0.06216704,26.26,0.0229388,0.619,2.971,0.8840001,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.09,34.78,3.686,81.68602,3599
"2026-01-11 16:00:00",7,"ZMD_J5580","Station40_ManyanePS",0.672,6.0774,3.04897,0.9557537,355.6453,29.60713,30.12,53.57,20.43,604.0874,2.17411,0.7825,0,894.0268,894.178,1013.682,1013.607,0,0.1045037,32.89,0.02078149,0.09974858,30.96,0.02356918,0.03766467,28.03,0.02649525,0.1284981,26.56,0.0412435,0.001000076,26.29,0.02468697,0,26.85,0.0226972,0,26.75,0.03322715,0.01336359,26.36,0.02253287,0.06158738,26.26,0.02317962,0.492,2.285,0.703,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.15,35.38,3.686,80.02614,3599
"2026-01-11 17:00:00",8,"ZMD_J5580","Station40_ManyanePS",0.3024,6.447,2.548821,0.9487,10.45532,29.08523,28.96,61.93,20.38,303.342,1.091728,0.6183333,0,893.9632,894.1149,1013.61,1013.537,0,0.1017873,31.95,0.02068869,0.09987274,30.88,0.02353496,0.03789512,28.43,0.0260934,0.1283539,26.84,0.04109833,0.001301889,26.39,0.02451026,0,26.87,0.02276875,0,26.75,0.03263194,0.0131597,26.36,0.02246757,0.06250556,26.26,0.02295851,0.27,1.46,0.386,"","","40204","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.1,34.9,3.687,78.75159,3599
