"TOA5","Station40_ManyanePS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2025-12-16 13:00:00",1,-1,"0-894-2-ManyanePS","ManyanePS",0,2025,12,16,10,54,-14.62,31.2,1,1047,89530,101512.7,-241,7.000001,1.5,301,291.4,55.98,-1,31.73,-24,219.1,1.5,-1,0,-24,0,302.1,296.3,10,0,2,-10,2.938,59.53,2.592,"None",5.477,-1,2585383,-24,13055180.0
"2026-01-11 11:00:00",2,-1,"0-894-2-ESLS001","Manyane Primary School",0,2026,1,11,8,55,-14.62,31.2,1,1047,89769,101783.6,"",4,1.5,301.2,294.3,65.79,-1,22.82,-24,22.82,1.5,-1,0,-24,0,301.2,300.2,10,0,2,-10,3.866,350.8,3.362,"None",7.048,-1,1283974,-24,1283974
"2026-01-11 12:00:00",3,-1,"0-894-2-ESLS001","Manyane Primary School",0,2026,1,11,9,55,-14.62,31.2,1,1047,89681,101683.9,"",4,1.5,301,295.1,70,-1,27.6,-24,50.42,1.5,-1,0,-24,0,301.6,299.4,10,0,2,-10,3.421,349.1,3.894,"None",6.770001,-1,2170506,-24,3454478
"2026-01-11 13:00:00",4,-1,"0-894-2-ESLS001","Manyane Primary School",0,2026,1,11,10,54,-14.62,31.2,1,1047,89565,101552.3,"",4,1.5,302.3,295,64.83,-1,42.02,-24,92.4,1.5,-1,0,-24,0,302.4,299.4,10,0,2,-10,3.89,337.1,3.922,"None",7.371,-1,2893614,-24,6348091
"2026-01-11 14:00:00",5,-1,"0-894-2-ESLS001","Manyane Primary School",0,2026,1,11,11,54,-14.62,31.2,1,1047,89477,101452.4,-292,7.000001,1.5,303.3,293.2,55.04,-1,36.08,-24,128.5,1.5,-1,0,-24,0,303.3,299.4,10,0,2,-10,3.44,343,2.89,"None",4.738,-1,2637506,-24,8985604
"2026-01-11 15:00:00",6,-1,"0-894-2-ESLS001","Manyane Primary School",0,2026,1,11,12,56,-14.62,31.2,1,1047,89417,101384.4,-264,7.000001,1.5,303.1,293.2,55.34,-1,46.6,-24,175.1,1.5,-1,0,-24,0,303.9,299.4,10,0,2,-10,3.316,335.3,3.386,"None",6.632,-1,2791506,-24,11777110.0
"2026-01-11 16:00:00",7,-1,"0-894-2-ESLS001","Manyane Primary School",0,2026,1,11,13,56,-14.62,31.2,1,1047,89393,101357.2,-172,7.000001,1.5,303.8,293.8,55.17,-1,44.92,-24,220,1.5,-1,0,-24,0,304,299.4,10,0,2,-10,3.092,354.6,3.003,"None",5.708,-1,2156698,-24,13933830.0
"2026-01-11 17:00:00",8,-1,"0-894-2-ESLS001","Manyane Primary School",0,2026,1,11,14,56,-14.62,31.2,1,1047,89420,101388,-57,7.000001,1.5,300.7,293.5,64.64,-1,37.1,-24,257.1,1.5,-1,0,-24,0,304.2,299.4,10,0,2,-10,2.579,8.189999,2.306,"None",4.922,-1,1216853,-24,15150680.0
