"TOA5","Station67_MiteteSS","CR1000X","49311","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","49311","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-31 11:00:00",1,"ZMD_J5580","Station67_MiteteSS",0,3.8136,2.127686,0.7288666,85.62637,27.26057,27.98,58.53,19.16,605.6726,0.8309827,0.1872222,0,896.5771,896.7298,1017.687,1017.516,0,0.03284826,24.65,0.01545084,0.07742578,23.91,0.01526546,0.05922285,23.4,0.06694354,0.04913802,23.59,0.01952831,0.05907312,23.84,0.01177817,0.06052516,24.23,0.02176812,0.06462958,24.26,0.03617886,0.06839672,24.32,0.01897416,0.08418677,24.52,0.01653603,0.238,3.351,0.34,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",11.72,34.58,3.683,"",1372
"2026-01-31 12:00:00",2,"ZMD_J5580","Station67_MiteteSS",0,3.9522,1.528081,0.7066137,93.48086,68.2477,29.6,51.5,19.64,764.1702,1.90202,0.3827778,0,895.8783,896.0301,1016.893,1016.741,0,0.03225748,24.93,0.01510263,0.07601118,23.95,0.01575134,0.0581491,23.27,0.06653582,0.04774003,23.34,0.01863248,0.05763268,23.59,0.01196651,0.05888625,24.1,0.02008625,0.06359938,24.13,0.03571016,0.06758535,24.12,0.0178786,0.08334926,24.33,0.01658695,0.442,3.676,0.631,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",11.8,36.18,3.69,"",2489
"2026-01-31 13:00:00",3,"ZMD_J5580","Station67_MiteteSS",0,4.7376,1.684,0.8796071,2.182402,63.89527,29.93,50.08,19.47,900.7347,2.179778,0.5033333,0,894.9087,895.0601,1015.792,1015.666,0,0.02996969,25.45,0.01494177,0.07546376,24.44,0.01461424,0.05821409,23.61,0.06715586,0.04817055,23.54,0.01905075,0.05820683,23.71,0.01128823,0.05901474,24.2,0.01983899,0.06363084,24.21,0.03547241,0.06763698,24.19,0.01831494,0.08346641,24.41,0.01659841,0.504,3.828,0.72,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",11.92,36.8,3.683,"",2420
"2026-01-31 14:00:00",4,"ZMD_J5580","Station67_MiteteSS",0,3.5826,1.496506,0.6493321,14.37278,47.28376,29.86,51.92,18.98,556.1968,2.001752,0.3972222,0,894.2078,894.3592,1014.996,1014.889,0,0.02962001,25.78,0.01510199,0.07585806,24.98,0.01500975,0.05865414,24.14,0.06687057,0.04816086,24,0.01845722,0.05850182,24.14,0.011929,0.05993258,24.65,0.02077906,0.06456681,24.68,0.03629836,0.06897095,24.68,0.01853341,0.08554265,24.93,0.01667814,0.466,3.747,0.666,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",11.9,36.71,3.684,"",3599
"2026-01-31 15:00:00",5,"ZMD_J5580","Station67_MiteteSS",0.2562,8.3412,4.089421,1.295578,142.8428,36.78902,28.57,62.51,19.63,458.992,1.651912,0.5258333,0,893.4532,893.605,1014.14,1014.054,0,0.02880938,25.36,0.01496626,0.07542636,24.96,0.01511669,0.05867774,24.32,0.06664366,0.04824668,24.14,0.01878495,0.05822412,24.21,0.01152732,0.05937066,24.68,0.02081463,0.06456972,24.7,0.03618565,0.06905666,24.68,0.01896482,0.08530887,24.93,0.01677353,0.427,3.39,0.61,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",11.94,34.75,3.684,"",3599
"2026-01-31 16:00:00",6,"ZMD_J5580","Station67_MiteteSS",1.8732,7.6482,4.191958,0.9607858,169.7066,15.38788,28.7,61.68,20.43,564.1747,2.030464,0.8255556,0,892.5875,892.7391,1013.158,1013.095,0,0.02901803,25.72,0.01553552,0.07461375,25.07,0.01534523,0.05804627,24.42,0.06644305,0.04806051,24.25,0.01859138,0.0583413,24.28,0.0112786,0.05953136,24.71,0.02060006,0.0643267,24.71,0.03591954,0.06903639,24.68,0.01879605,0.08513674,24.93,0.01697732,0.476,2.795,0.68,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.1,34.44,3.684,"",3599
"2026-01-31 17:00:00",7,"ZMD_J5580","Station67_MiteteSS",1.827,7.8792,4.463601,1.066649,165.0548,12.85242,26.14,73.29999,20.5,238.2421,0.8574334,0.06638889,0,892.0634,892.2162,1012.564,1012.516,0,0.02865308,25.33,0.01497371,0.0746239,25.11,0.01609397,0.05840092,24.54,0.06630117,0.04808514,24.35,0.01904071,0.05817278,24.35,0.01127212,0.05942985,24.75,0.02061317,0.06446901,24.72,0.03605159,0.06882067,24.68,0.01829179,0.08541206,24.93,0.01640411,0.236,2.022,0.337,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",11.94,32.34,3.685,"",3599
"2026-01-31 18:00:00",8,"ZMD_J5580","Station67_MiteteSS",1.5036,6.0774,3.443798,0.7639546,166.6721,12.80865,25.33,70.83,20.02,138.6977,0.4991728,0,0,892.1838,892.3371,1012.701,1012.649,0,0.02813199,24.8,0.01540894,0.07416822,24.88,0.01528681,0.058549,24.59,0.06617224,0.04849126,24.44,0.01843099,0.05821683,24.42,0.01085684,0.05970184,24.79,0.02079645,0.0639783,24.75,0.03599137,0.0687767,24.68,0.01829275,0.08540935,24.93,0.01669975,0.15,1.142,0.214,"","","49311","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",11.85,29.51,3.685,"",3599
