"TOA5","St28_MunyatiPS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2026-01-06 01:00:00",1,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,5,22,56,-17.09,27.51,520,521.5,95097,101202.1,57,2,1.5,294.4,293.2,92.8,-1,0,-24,0,1.5,-1,0,-24,0,302.4,294.3,10,0,2,-10,1.298,317.7,1.378,"None",2.104,-1,0,-24,46.40936
"2026-01-06 02:00:00",2,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,5,23,55,-17.09,27.51,520,521.5,95080,101184,-22,7.000001,1.5,294.6,292.9,89.8,-1,0,-24,0,1.5,-1,0,-24,0,302.4,294.3,10,0,2,-10,1.544,310.1,1.048,"None",2.012,-1,0,-24,46.40936
"2026-01-06 03:00:00",3,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,6,0,55,-17.09,27.51,520,521.5,95080,101184,-34,7.000001,1.5,294.3,293,92,-1,0,-24,0,1.5,-1,0,-24,0,302.4,294.3,10,0,2,-10,1.245,314.1,0.9250001,"None",1.457,-1,0,-24,46.40936
"2026-01-06 04:00:00",4,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,6,1,55,-17.09,27.51,520,521.5,95065,101168.1,-32,7.000001,1.5,294.1,292.9,92.8,-1,0,-24,0,1.5,-1,0,-24,0,302.4,293.9,10,0,2,-10,0.9,316.6,1.415,"None",1.735,-1,0,-24,46.40936
"2026-01-06 05:00:00",5,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,6,2,54,-17.09,27.51,520,521.5,95069,101172.3,-11,7.000001,1.5,293.6,292.7,94.9,-1,0,-24,0,1.5,-1,0,-24,0,302.4,293.6,10,0,2,-10,1.11,294.9,0.697,"None",0.9950001,-1,0,-24,46.40936
"2026-01-06 06:00:00",6,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,6,3,54,-17.09,27.51,520,521.5,95127,101234.1,47,2,1.5,293.8,292.6,92.5,-1,0,-24,0,1.5,-1,0.2,-24,0,302.4,293.5,10,0,2,-10,1.535,308.3,1.338,"None",1.919,-1,0,-24,46.40936
"2026-01-06 07:00:00",7,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,6,4,56,-17.09,27.51,520,521.5,95184,101294.6,119,2,1.5,296.4,293.1,82.1,-1,0,-24,0,1.5,-1,0,-24,0,302.4,293.5,10,0,2,-10,0.9130001,305.3,1.118,"None",1.457,-1,0,-24,46.40936
"2026-01-06 08:00:00",8,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,6,5,56,-17.09,27.51,520,521.5,95227,101340.2,158,2,1.5,299,292.6,67.97,-1,0,-24,0,1.5,-1,0,-24,0,302.4,293.5,10,0,2,-10,0.891,272.3,0.456,"None",0.9030001,-1,0,-24,46.40936
"2026-01-06 09:00:00",9,-1,"0-894-2-MunyatiPS","MunyatiPS",0,2026,1,6,6,56,-17.09,27.51,520,521.5,95225,101338,98,2,1.5,300.6,293.2,63.97,-1,0,-24,0,1.5,-1,0,-24,0,300.6,299,10,0,2,-10,0.846,245.5,0.942,"None",1.596,-1,0,-24,0
