"TOA5","Station95_NsumbuSS","CR1000X","51202","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","51202","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-02-25 08:00:00",1,"ZMD_J5580","Station95_NsumbuSS",0,4.2756,2.322998,0.5967638,40.94729,12.1116,21.32,97.1,20.99,104.3997,0.2555705,0,0,924.9627,925.1238,1014.048,1013.983,556,0.1686779,24.66,0.01461376,0.1761129,24.99,0.02325928,0.2423874,25.71,0.02693667,0.2035638,26.07,0.02828695,0.2379419,26.38,0.02589398,0.2159876,26.86,0.02520477,0.1662021,27.02,0.04165988,0.1463471,27.05,0.03084929,0.2182032,27.25,0.03049532,0.046,1.231,0.066,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.37,21.91,3.71,"",2448
"2026-02-25 09:00:00",2,"ZMD_J5580","Station95_NsumbuSS",0,3.7212,2.420462,0.490158,29.35891,12.17777,22.5,89.6,21.65,201.9747,0.5027151,0,0,925.4778,925.6382,1014.612,1014.537,212,0.1650829,24.49,0.01445764,0.1713988,24.67,0.02270422,0.2361986,25.25,0.02681197,0.1982264,25.59,0.0278907,0.2331296,25.91,0.02528832,0.2130898,26.41,0.02464713,0.1623118,26.6,0.04096369,0.1440712,26.6,0.03036225,0.2148588,26.79,0.02974202,0.097,2.112,0.139,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.35,23.47,3.716,"",2489
"2026-02-25 10:00:00",3,"ZMD_J5580","Station95_NsumbuSS",0.5796,3.8136,1.967263,0.580868,29.11306,16.51812,24.25,85.3,22.02,331.5394,1.19321,0,0,925.5172,925.6767,1014.654,1014.578,77,0.16633,25.17,0.01445889,0.1731936,25.18,0.02312171,0.2385395,25.67,0.02714583,0.2003181,26.02,0.02810107,0.2365444,26.38,0.0257367,0.2179649,26.95,0.02521176,0.1658411,27.19,0.04121494,0.1472685,27.23,0.03092144,0.2199527,27.46,0.03044702,0.236,2.76,0.337,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.29,26.08,3.715,"",3599
"2026-02-25 11:00:00",4,"ZMD_J5580","Station95_NsumbuSS",0,2.7048,1.115069,0.4378379,73.32786,65.40981,26.59,74.97,21.49,625.411,2.250854,0.8822222,0,925.331,925.4893,1014.448,1014.377,0,0.1647888,25.74,0.01449956,0.1710113,25.47,0.02315192,0.2362119,25.72,0.02681049,0.1981801,25.99,0.02774003,0.2344281,26.35,0.02560284,0.2182556,26.94,0.02513663,0.1654871,27.17,0.04114585,0.1475295,27.23,0.03072894,0.2202628,27.46,0.03060676,0.46,3.35,0.657,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.19,30.14,3.708,"",3599
"2026-02-25 12:00:00",5,"ZMD_J5580","Station95_NsumbuSS",0,4.6452,2.271722,0.8277482,257.645,26.54006,27.62,70.24,21.52,874.5241,3.147412,0.9997222,0,924.6703,924.8279,1013.723,1013.664,0,0.1624177,26.62,0.01429852,0.1685511,25.94,0.02289135,0.2330599,25.84,0.02680974,0.1949226,26.01,0.02820316,0.231751,26.32,0.0254378,0.218351,26.92,0.0254485,0.1655279,27.16,0.04114624,0.1469195,27.22,0.03055095,0.2195223,27.46,0.0303636,0.641,3.684,0.9160001,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.12,33.81,3.706,"",3599
"2026-02-25 13:00:00",6,"ZMD_J5580","Station95_NsumbuSS",0.8106,5.061,2.999098,0.6573675,236.6437,21.68299,27.8,70.43999,22.16,1054.092,3.793678,0.9997222,0,923.492,923.6494,1012.432,1012.395,0,0.1592282,27.89,0.01387534,0.1656694,26.66,0.02296148,0.2300001,26.06,0.02686325,0.1919358,26.07,0.02797603,0.2292648,26.32,0.02557458,0.2179157,26.89,0.02512887,0.1650785,27.14,0.04093602,0.1473324,27.2,0.03067429,0.2194819,27.46,0.03047303,0.753,3.731,1.076,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.14,32.94,3.706,"",3599
"2026-02-25 14:00:00",7,"ZMD_J5580","Station95_NsumbuSS",0.8106,6.216,3.273231,0.9799306,221.8674,24.50525,28.08,76.88,22.88,1014.43,3.650934,0.9997222,0,922.3957,922.5526,1011.23,1011.213,0,0.1560446,28.98,0.01363202,0.1626694,27.53,0.02248836,0.2265173,26.42,0.02653086,0.1895875,26.19,0.02769504,0.2275842,26.34,0.02519445,0.2179316,26.89,0.02521855,0.1651858,27.12,0.04155035,0.1469843,27.19,0.03073788,0.2186272,27.46,0.03041731,0.724,3.495,1.034,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.13,32.66,3.708,"",3599
"2026-02-25 15:00:00",8,"ZMD_J5580","Station95_NsumbuSS",0.8106,5.4306,3.191887,0.7920815,233.2651,21.58117,28.14,72.54,23.06,903.7783,3.252698,0.9997222,0,921.4433,921.6001,1010.185,1010.187,0,0.1538368,29.45,0.01343061,0.1595183,28.16,0.02225725,0.2233762,26.84,0.02643058,0.1871236,26.38,0.02741651,0.2263214,26.4,0.02536438,0.2181326,26.89,0.02516896,0.1651791,27.11,0.04050155,0.146679,27.19,0.03070772,0.2185332,27.46,0.03039579,0.648,3.004,0.9260001,"","","51202","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",13.1,33.61,3.706,"",3599
