"TOA5","Station81_NyunduPS","CR1000X","49625","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","49625","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 01:00:00",1,"ZMD_J5580","Station81_NyunduPS",0,2.058,0.5703471,0.3408478,318.5731,0.4483391,18.47,98.1,18.14,0,0,0,0,887.6338,887.7898,1020.368,1020.111,3599,0,21.51,0.008891162,0.1356294,23.13,0.01703907,0.08823222,24.52,0.01207096,0.06660229,25.14,0.009983986,0.08766574,25.52,0.01404816,0.05853518,25.97,0.008238862,0.1829853,25.58,0.008519879,0.1865528,25.29,0.01073618,0.1849893,25.34,0.009931292,-0.006,0,-0.009000001,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.5,19.32,3.724,"",3599
"2026-01-06 02:00:00",2,"ZMD_J5580","Station81_NyunduPS",0,1.5498,0.37494,0.3632471,318.5731,0.4496456,18.47,97.70001,18.05,0,0,0,0,887.446,887.602,1020.152,1019.901,3599,0,21.33,0.009006026,0.1352008,22.84,0.01725339,0.08795978,24.27,0.01201921,0.06661982,24.98,0.01056413,0.08775945,25.44,0.0142513,0.05860404,25.94,0.00823301,0.182913,25.58,0.00773231,0.1867172,25.31,0.01082348,0.1847313,25.34,0.01012006,-0.006,0,-0.009000001,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.48,18.99,3.724,"",3599
"2026-01-06 03:00:00",3,"ZMD_J5580","Station81_NyunduPS",0,1.0878,0.2997155,0.2298543,318.5732,0.4479028,17.84,98.20001,17.53,0,0,0,0,887.227,887.3833,1019.9,1019.656,3599,0,20.96,0.008992924,0.1346051,22.55,0.01756122,0.08768653,24.05,0.01211407,0.06664151,24.81,0.01037997,0.08749498,25.34,0.01420871,0.05839383,25.9,0.008582705,0.1829944,25.58,0.008084468,0.1865109,25.32,0.01100911,0.18512,25.34,0.01038487,-0.007,0,-0.01,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.47,18.45,3.723,"",3599
"2026-01-06 04:00:00",4,"ZMD_J5580","Station81_NyunduPS",0,1.8732,0.5569769,0.2504567,318.5732,0.4461531,17.73,98.5,17.5,0,0,0,0,887.1882,887.3446,1019.856,1019.613,3599,0,20.75,0.008970404,0.1337151,22.29,0.01791775,0.08758624,23.81,0.01256811,0.06629956,24.65,0.01038575,0.0872811,25.25,0.01428236,0.05842143,25.85,0.008249769,0.1826292,25.57,0.008065985,0.1865167,25.33,0.01102856,0.1851442,25.35,0.009814006,-0.006,0,-0.009000001,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.45,18.19,3.725,"",3599
"2026-01-06 05:00:00",5,"ZMD_J5580","Station81_NyunduPS",0,1.1802,0.3478927,0.2219708,318.5732,0.4496456,17.59,98.3,17.33,0,0,0,0,887.3709,887.5273,1020.066,1019.818,3599,0,20.65,0.008830931,0.1338117,22.16,0.0176871,0.08731084,23.63,0.01201087,0.06620922,24.5,0.00989259,0.08722308,25.14,0.01421972,0.05828502,25.8,0.008339298,0.1825826,25.55,0.008798813,0.1864286,25.34,0.01176303,0.1853637,25.36,0.01004017,-0.007,0,-0.01,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.44,18.2,3.726,"",3599
"2026-01-06 06:00:00",6,"ZMD_J5580","Station81_NyunduPS",0,0.7643999,0.3059043,0.2556641,318.5732,0.4483391,16.83,98.4,16.56,0.1338652,0.000481781,0,0,887.8923,888.0493,1020.666,1020.402,3599,0,20.26,0.009080028,0.1335146,21.89,0.0177612,0.08742229,23.46,0.0122895,0.06631614,24.36,0.01022124,0.08717441,25.04,0.01426771,0.05832328,25.74,0.008450044,0.1823174,25.52,0.00774706,0.1864302,25.33,0.0109246,0.1855246,25.37,0.01004697,-0.007,0,-0.01,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.42,17.55,3.724,"",3599
"2026-01-06 07:00:00",7,"ZMD_J5580","Station81_NyunduPS",0,0.9953999,0.3950541,0.2232382,318.5732,0.4513817,17.3,98.70001,17.1,28.54122,0.1027198,0,0,888.8737,889.0305,1021.794,1021.5,3599,0,20.47,0.008910066,0.1329841,21.76,0.01751748,0.08714063,23.28,0.01203705,0.06617932,24.21,0.01006278,0.08698957,24.94,0.01403684,0.05821705,25.68,0.00786752,0.1822711,25.49,0.00820267,0.1862793,25.33,0.01105531,0.1855211,25.37,0.009909484,0.006,0.197,0.009000001,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.46,17.7,3.724,"",3599
"2026-01-06 08:00:00",8,"ZMD_J5580","Station81_NyunduPS",0,2.4738,0.6080958,0.3924961,318.5732,0.4479028,18.7,90.4,18.16,130.9854,0.4714164,0.155,0,889.9706,890.127,1023.054,1022.726,3599,0,21.46,0.008733318,0.1329606,22.11,0.01727965,0.08678733,23.19,0.01219674,0.06651912,24.08,0.01034143,0.08651198,24.83,0.01439087,0.05832342,25.61,0.007971408,0.1821536,25.45,0.007938594,0.1864663,25.32,0.01152653,0.1857167,25.38,0.009834898,0.07700001,1.014,0.11,"","","49625","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.86,19.32,3.725,"",3599
