"TOA5","Station81_NyunduPS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2026-01-06 01:00:00",1,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,5,22,56,-12.85,24.26,1158,1160,88766,102039.8,-45,7.000001,1.5,291.6,291.3,98.20001,-1,0,-24,292.6,1.5,-1,0,-24,0,302.1,291.4,10,0,2,-10,0.529,318.6,0.7420001,"None",1.504,-1,0,-24,18024890.0
"2026-01-06 02:00:00",2,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,5,23,55,-12.85,24.26,1158,1160,88729,101997.3,-104,7.000001,1.5,291.3,291,97.70001,-1,0,-24,292.6,1.5,-1,0,-24,0,302.1,291.3,10,0,2,-10,0.417,318.6,0.13,"None",0.6720001,-1,0,-24,18024890.0
"2026-01-06 03:00:00",3,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,6,0,55,-12.85,24.26,1158,1160,88719,101985.8,-46,7.000001,1.5,290.8,290.6,98.20001,-1,0,-24,292.6,1.5,-1,0,-24,0,302.1,290.8,10,0,2,-10,0.318,318.6,0.121,"None",0.487,-1,0,-24,18024890.0
"2026-01-06 04:00:00",4,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,6,1,55,-12.85,24.26,1158,1160,88715,101981.2,-51,7.000001,1.5,291,290.8,98.5,-1,0,-24,292.6,1.5,-1,0,-24,0,302.1,290.6,10,0,2,-10,0.523,318.6,0.754,"None",1.873,-1,0,-24,18024890.0
"2026-01-06 05:00:00",5,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,6,2,54,-12.85,24.26,1158,1160,88770,102044.5,41,2,1.5,290.4,290.1,98.1,-1,0,-24,292.6,1.5,-1,0,-24,0,302.1,290.4,10,0,2,-10,0.383,318.6,0.436,"None",0.6720001,-1,0,-24,18024890.0
"2026-01-06 06:00:00",6,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,6,3,54,-12.85,24.26,1158,1160,88832,102115.8,113,2,1.5,289.8,289.6,98.4,-1,0,-24,292.6,1.5,-1,0,-24,0,302.1,289.8,10,0,2,-10,0.271,318.6,0.122,"None",0.487,-1,71.1231,-24,18024930.0
"2026-01-06 07:00:00",7,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,6,4,56,-12.85,24.26,1158,1160,88934,102232.9,219,2,1.5,290.9,290.7,98.70001,-1,0,-24,292.6,1.5,-1,0,-24,0,302.1,289.8,10,0,2,-10,0.417,318.6,0.319,"None",0.8110001,-1,90429.79,-24,18115630.0
"2026-01-06 08:00:00",8,-1,"0-894-2-NyunduPS","NyunduPS",0,2026,1,6,5,56,-12.85,24.26,1158,1160,89040,102354.7,270,2,1.5,292.9,291.1,89.3,-1,4.383,-24,297,1.5,-1,0,-24,0,302.1,289.8,10,0,2,-10,0.565,318.6,1.113,"None",2.474,-1,409424.7,-24,18525190.0
