"TOA5","Station72_SikongoSS","CR1000X","49616","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","49616","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-29 15:00:00",1,"ZMD_J5580","Station72_SikongoSS",0,2.982,1.94161,0.4833768,65.04356,29.02735,30.94,50.58,19.22,604.3797,0.1426336,0.03388889,0,895.6546,895.8056,1015.404,1015.288,0,0.01083484,35.64,0.01829637,0.02797448,32.8,0.01487598,0.04000694,29.91,0.01978225,0.05064912,28.33,0.02143255,0.05521758,27.69,0.01407987,0.05703608,27.52,0.01981014,0.06963044,27.07,0.02922661,0.07078294,26.25,0.01839096,0.06791807,25.55,0.01888596,0.113,2.508,0.161,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.01,36,3.708,"",236
"2026-01-29 16:00:00",2,"ZMD_J5580","Station72_SikongoSS",0,5.8464,2.030157,0.9378972,91.4913,45.70728,31,45.57,18.78,736.895,2.652085,0.9388889,0,895.1305,895.2814,1014.809,1014.708,0,0.01031556,36.01,0.01826772,0.02792901,33.4,0.01526959,0.04044774,31.07,0.02025109,0.05300536,29.88,0.02201748,0.05743891,29.52,0.01451634,0.06225966,29.69,0.02167123,0.07643689,29.58,0.03077608,0.07826977,29.22,0.01991109,0.07748274,28.86,0.02050378,0.589,2.086,0.841,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.96,36.84,3.704,"",3599
"2026-01-29 17:00:00",3,"ZMD_J5580","Station72_SikongoSS",0,4.368,1.889614,0.8415898,80.02469,48.7885,31.72,42.28,17.5,488.1859,1.756981,0.5763889,0,894.5609,894.7113,1014.163,1014.077,0,0.01025801,37.5,0.01805473,0.0279893,33.99,0.01501817,0.03938152,31.45,0.01971457,0.05239353,30.17,0.02151456,0.0577583,29.67,0.01472594,0.06123915,29.75,0.02162048,0.07640422,29.58,0.03068389,0.07808393,29.22,0.02000244,0.07734708,28.86,0.02033623,0.404,1.211,0.577,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.93,37.87,3.703,"",3599
"2026-01-29 18:00:00",4,"ZMD_J5580","Station72_SikongoSS",0,5.3382,2.092494,0.8063678,124.2622,36.12418,31.33,46.42,16.8,328.5731,1.182535,0.5316666,0,894.2772,894.4278,1013.842,1013.763,0,0.00224613,38.58,0.0178728,0.02789516,34.45,0.01491693,0.03942169,31.84,0.01952277,0.05244282,30.44,0.02156141,0.05758312,29.84,0.0144505,0.06143819,29.82,0.02156956,0.0763126,29.61,0.03048699,0.07837528,29.19,0.01999022,0.07729202,28.86,0.02032497,0.287,0.339,0.41,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",13.33,37.69,3.701,"",3599
"2026-01-29 19:00:00",5,"ZMD_J5580","Station72_SikongoSS",0.7643999,4.9686,2.146987,0.649495,96.41238,16.83569,29.28,52.79,17.66,45.47518,0.1636652,0.05416667,0,894.8722,895.024,1014.518,1014.423,0,0.00466545,36.54,0.01849521,0.02749746,34.34,0.01492667,0.03962595,32.11,0.01944036,0.05300395,30.69,0.02156518,0.0580326,30.01,0.01434654,0.06166312,29.91,0.02148475,0.07602766,29.64,0.03052212,0.07891654,29.18,0.01975808,0.07724811,28.86,0.02023249,0.059,0.001,0.08400001,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.94,33.5,3.707,"",3599
"2026-01-29 20:00:00",6,"ZMD_J5580","Station72_SikongoSS",0.7182,3.5364,1.643535,0.4648428,77.75251,12.59869,26.63,66.09,17.84,0.06968974,0.0002508133,0,0,895.9205,896.0738,1015.707,1015.585,0,0.00380055,33.56,0.01924317,0.0274621,33.58,0.01545501,0.03940427,32.21,0.01956637,0.05300411,30.91,0.02151883,0.05830543,30.18,0.01463151,0.06146062,30.02,0.0215958,0.07588903,29.69,0.03051284,0.0785207,29.2,0.02006611,0.07674627,28.86,0.02041637,0.018,0,0.026,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.77,29.57,3.717,"",3599
"2026-01-29 21:00:00",7,"ZMD_J5580","Station72_SikongoSS",0.3486,3.675,1.413822,0.5766306,112.8852,71.37549,24.32,76.66,19.2,0,0,0,0,896.7438,896.8984,1016.642,1016.497,0,0.003491244,31.15,0.02041483,0.02734454,32.57,0.01560193,0.03970698,32.1,0.01963767,0.05341113,31.04,0.02162924,0.05862844,30.33,0.0144894,0.06116069,30.12,0.02133853,0.07558578,29.75,0.03069189,0.07825776,29.22,0.01994878,0.07688513,28.86,0.02045155,0,0,0,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.73,26.53,3.724,"",3599
"2026-01-29 22:00:00",8,"ZMD_J5580","Station72_SikongoSS",0,2.7972,1.229949,0.5075456,259.1127,39.74424,23.84,82.4,20.23,0,0,0,0,897.5834,897.7384,1017.594,1017.427,0,0.003155903,29.54,0.02092038,0.02724959,31.63,0.01595525,0.03947452,31.83,0.01986706,0.0538965,31.08,0.02184608,0.05900512,30.45,0.01458134,0.0611756,30.23,0.02136489,0.07597183,29.82,0.03047733,0.07832646,29.24,0.02005817,0.07674194,28.86,0.02017367,-0.007,0,-0.01,"","","49616","CPU:ZMD_J5580_V1R1_20231108.cr1x","37656",12.69,24.96,3.725,"",3599
