"TOA5","Station69_SinjembelaS","CR1000X","49313","CR1000X.Std.07","CPU:ZMD_J5580_V1R1_20231108.cr1x","49313","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_min","WSpd_max","WSpd_avg","WSpd_std","WDir","AirTemp_avg","RH","RH_avg","SlrW_avg","SlrW_tot","Sun_Hours","Rain","BPress_avg","QFE_avg","QNH_avg","QNH_ICAO_avg","Bpress","BPress_Success","LeafWetkOhms","LeafWetkOhms_tot","VWC_5cm_avg","SoilTemp_5cm","ECBulk_5cm","VWC_10cm","SoilTemp_10cm","ECBulk_10cm","VWC_20cm","SoilTemp_20cm","ECBulk_20cm","VWC_30cm","SoilTemp_30cm","ECBulk_30cm","VWC_40cm","SoilTemp_40cm","ECBulk_40cm","VWC_50cm","SoilTemp_50cm","ECBulk_50cm","VWC_60cm","SoilTemp_60cm","ECBulk_60cm","VWC_75cm","SoilTemp_75cm","ECBulk_75cm","VWC_100cm","SoilTemp_100cm","ECBulk_100cm","ET_Shortgrass_1h","SlrMJ_ClearSky_1h","Evap_Calc_1h","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery","LoggerTemp","LoggerLithiumBatt","PingTime","ScanCount"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mm","MJ/m^2","mm","mm","mm","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-06 00:00:00",1,"ZMD_J5580","Station69_SinjembelaS",1.2726,2.6124,1.865249,0.2332656,208.3401,0.2838303,20.27,89.9,18.16,0,0,0,0,899.7509,899.9081,1013.881,1013.804,0,0.005669561,25.48,0.01728158,0.01686255,26.79,0.02147499,0.02363265,27.76,0.02347477,0.03147317,28.01,0.02090275,0.02711773,28.03,0.02086236,0.02519768,28.47,0.03412876,0.0679989,28.47,0.03101107,0.07259842,28.36,0.02272413,0.09745815,28.38,0.03386155,-0.005,0,-0.007,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.91,20.99,3.687,"",3599
"2026-01-06 01:00:00",2,"ZMD_J5580","Station69_SinjembelaS",1.1802,2.982,1.951592,0.3059027,208.3398,0.281756,19.74,92.3,18.18,0,0,0,0,899.3688,899.5262,1013.451,1013.384,0,0.005794379,24.98,0.01748801,0.01662467,26.39,0.02162404,0.02415726,27.55,0.02400906,0.03183644,27.95,0.02091157,0.027127,28.05,0.02074953,0.02487839,28.5,0.03418775,0.0675163,28.47,0.03099609,0.07234857,28.36,0.0225966,0.09748873,28.36,0.03388766,-0.007,0,-0.01,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.87,20.29,3.688,"",3599
"2026-01-06 02:00:00",3,"ZMD_J5580","Station69_SinjembelaS",1.3188,3.444,2.185584,0.3007223,208.3397,0.2796662,19.48,91.4,18.11,0,0,0,0,899.1758,899.3334,1013.233,1013.171,0,0.004830354,24.57,0.01739762,0.01654641,26.03,0.0219711,0.02420454,27.34,0.02379745,0.03129764,27.88,0.02089577,0.02701944,28.04,0.0207969,0.02501372,28.5,0.0343094,0.06762984,28.48,0.03078289,0.07214332,28.36,0.02237777,0.09762744,28.36,0.0336602,-0.007,0,-0.01,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.83,19.83,3.686,"",3599
"2026-01-06 03:00:00",4,"ZMD_J5580","Station69_SinjembelaS",0.9492,3.0744,1.934923,0.3363958,208.3396,0.2899641,19.33,93.5,18,0,0,0,0,899.2238,899.3814,1013.287,1013.224,0,0.004843884,24.23,0.01760777,0.01656145,25.71,0.02175787,0.02419221,27.13,0.02422971,0.03142348,27.79,0.02083717,0.02720082,28.01,0.02070131,0.02489083,28.5,0.0339483,0.06736886,28.5,0.03103208,0.07216573,28.36,0.02264366,0.09748295,28.35,0.03373646,-0.008,0,-0.011,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.81,19.73,3.688,"",3599
"2026-01-06 04:00:00",5,"ZMD_J5580","Station69_SinjembelaS",1.1802,3.675,2.123352,0.3163323,208.3393,0.2953096,19.02,93,17.96,0,0,0,0,899.098,899.2558,1013.146,1013.086,0,0.004814578,23.94,0.01764732,0.01626428,25.43,0.02198161,0.02419308,26.93,0.02382755,0.03164597,27.68,0.02096545,0.02712263,27.98,0.02086304,0.02478955,28.5,0.03442233,0.06750422,28.5,0.03075396,0.07250454,28.36,0.02252789,0.09730254,28.33,0.03381812,-0.009000001,0,-0.013,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.79,19.52,3.688,844,3599
"2026-01-06 05:00:00",6,"ZMD_J5580","Station69_SinjembelaS",1.2264,2.982,1.970119,0.2882852,208.3391,0.3037953,18.83,94.9,17.88,0,0,0,0,899.1528,899.3106,1013.208,1013.146,0,0.004730682,23.73,0.01789024,0.0163189,25.19,0.02199771,0.02400307,26.73,0.02412333,0.03136693,27.56,0.02072595,0.02706117,27.93,0.02084729,0.02499063,28.48,0.03415141,0.06735041,28.49,0.03045883,0.07199993,28.34,0.02231889,0.09721735,28.33,0.03389067,-0.01,0,-0.014,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.78,19.45,3.687,1648,3599
"2026-01-06 06:00:00",7,"ZMD_J5580","Station69_SinjembelaS",0.6258,2.982,1.886174,0.3524332,208.3392,0.287934,18.79,94.3,17.91,0.7797759,0.002806414,0,0,899.6962,899.8542,1013.82,1013.745,0,0.004447674,23.53,0.01790013,0.0163652,24.97,0.02225106,0.024026,26.55,0.0239029,0.03149948,27.45,0.02104625,0.02697054,27.88,0.02099146,0.02487393,28.47,0.03418697,0.06739551,28.47,0.03087776,0.07199194,28.33,0.02236455,0.09727771,28.33,0.03387263,-0.011,0,-0.016,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.77,19.21,3.686,1504,3599
"2026-01-06 07:00:00",8,"ZMD_J5580","Station69_SinjembelaS",0,2.3352,1.147382,0.3843102,208.3404,0.2272019,19.9,87.70001,18.28,60.9891,0.2194998,0.1611111,0,900.523,900.6806,1014.751,1014.655,0,0.004495272,23.38,0.01798148,0.01622968,24.78,0.0221455,0.02415124,26.37,0.02408681,0.03178237,27.33,0.02093733,0.02715685,27.82,0.02089154,0.02464987,28.44,0.03409178,0.06710821,28.47,0.030846,0.07212992,28.33,0.02242184,0.09736538,28.33,0.03362561,0.007,0.22,0.01,"","","49313","CPU:ZMD_J5580_V1R1_20231108.cr1x","49495",12.85,20.35,3.688,723,3599
