"TOA5","Station69_SinjembelaS","","","","","","SYNOP"
"TIMESTAMP","RECORD","WMO_Block","Station_ID","Station_Name","WMO_Station_Type","M_Year","M_Month","M_DayOfMonth","M_HourOfDay","M_Minutes","Latitude","Longitude","Elevation","BP_Elevation","BP","QNH","BP_Change","BP_Tendency","Temp_H","AirTempK","DewPointTempK","RH","Sun_hr","SunHrs","Sun_hr24","SunHrs24","Rain_H","Rain_hr","Rain_mm_Tot","Temp_hr24","Temp24T","AirTempMaxK","AirTempMinK","WSpeed_height","Wind_Type","Wind_Sig","Wind_T","WSPeed","WindDir","WSpeed10M_Avg","WindG_Sig","WindGust","Solar_hr","SlrJ","Solar_hr24","SlrJ24"
"TS","RN","","","","","","","","","","DecDeg","DecDeg","M","","","","Pa","","m","K","K","%","","minutes","","minutes","m","","mm","","","K","K","m","","","","m/s","Deg","m/s","","m/s","","J/m^2","","J/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","WVc","WVc","Smp","Smp","Smp","Smp","Tot","Smp","Smp"
"2026-01-06 00:00:00",1,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,5,21,56,-17.31,23.03,994,996,89961,101372.2,88,2,1.5,293,291.3,90,-1,0,-24,348.8,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,1.85,208.3,1.97,"None",2.428,-1,0,-24,18574510.0
"2026-01-06 01:00:00",2,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,5,22,56,-17.31,23.03,994,996,89928,101335.1,-13,7.000001,1.5,292.6,291.3,91.9,-1,0,-24,348.8,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,1.935,208.3,2.078,"None",2.936,-1,0,-24,18574510.0
"2026-01-06 02:00:00",3,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,5,23,55,-17.31,23.03,994,996,89910,101314.8,-76,7.000001,1.5,292.8,291.2,90.4,-1,0,-24,348.8,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,2.19,208.3,2.181,"None",2.982,-1,0,-24,18574510.0
"2026-01-06 03:00:00",4,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,6,0,55,-17.31,23.03,994,996,89920,101326.1,-41,7.000001,1.5,292.3,291.1,92.8,-1,0,-24,348.8,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,1.956,208.3,1.778,"None",2.566,-1,0,-24,18574510.0
"2026-01-06 04:00:00",5,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,6,1,55,-17.31,23.03,994,996,89899,101302.4,-29,7.000001,1.5,292.2,291,92.70001,-1,0,-24,348.8,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,2.092,208.3,2.174,"None",2.89,-1,0,-24,18574510.0
"2026-01-06 05:00:00",6,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,6,2,54,-17.31,23.03,994,996,89926,101332.9,16,2,1.5,291.8,291,94.8,-1,0,-24,348.8,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,1.995,208.3,1.832,"None",2.52,-1,0,-24,18574510.0
"2026-01-06 06:00:00",7,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,6,3,54,-17.31,23.03,994,996,90006,101423,86,2,1.5,292,291.1,94.3,-1,0,-24,348.8,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,1.954,208.3,1.902,"None",2.705,-1,996.0786,-24,18575510.0
"2026-01-06 07:00:00",8,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,6,4,56,-17.31,23.03,994,996,90081,101507.4,182,2,1.5,294,291.9,88,-1,9.42,-24,358.2,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,1.163,208.3,0.8940001,"None",1.411,-1,192754.2,-24,18768200.0
"2026-01-06 08:00:00",9,-1,"0-894-2-SinjembelaS","SinjembelaS",0,2026,1,6,5,56,-17.31,23.03,994,996,90117,101547.7,191,2,1.5,298,292.3,70.67,-1,13.67,-24,371.9,1.5,-1,0,-24,0,302.2,291.6,10,0,2,-10,1.685,208.3,2.564,"None",4.553,-1,515775.6,-24,19283970.0
